stok_mutasi_id,produk_id,umkm_id,tipe_mutasi,jumlah_perubahan,stok_sebelum,stok_sesudah,referensi_tipe,referensi_id,catatan,created_by_akun_id,created_at
STK000014,PRD014679,UMK003677,SALE,-7,120,113,PENJUALAN,PJL000014,Pengurangan stok karena penjualan Krupuk Ikan.,AKUN003927,2024-02-02 00:04:05
STK000015,PRD016387,UMK004107,SALE,-4,679,675,PENJUALAN,PJL000015,Pengurangan stok karena penjualan Paket Alat Kebersihan.,AKUN004357,2024-04-15 21:53:13
STK000016,PRD017018,UMK004265,RESTOCK,103,89,192,PEMBELIAN_STOK,RST-00000016,Restock produk Krupuk Ikan dari produksi/pembelian baru.,AKUN004515,2024-03-26 08:10:57
STK000017,PRD017270,UMK004331,RESTOCK,143,44,187,PEMBELIAN_STOK,RST-00000017,Restock produk Dekorasi Rumah dari produksi/pembelian baru.,AKUN004581,2024-03-11 12:19:50
STK000018,PRD001131,UMK000303,CANCEL_SALE,2,46,48,PENJUALAN,PJL000018,Stok kembali karena pembatalan penjualan Paket Catering Event.,AKUN000553,2025-09-23 01:47:17
STK000019,PRD008106,UMK002030,SALE,-6,51,45,PENJUALAN,PJL000019,Pengurangan stok karena penjualan Batik Tulis.,AKUN002280,2025-08-13 21:49:53
STK000020,PRD014117,UMK003535,SALE,-9,142,133,PENJUALAN,PJL000020,Pengurangan stok karena penjualan Roti Pisang.,AKUN003785,2025-04-21 21:41:48
STK000021,PRD012737,UMK003187,RESTOCK,71,206,277,PEMBELIAN_STOK,RST-00000021,Restock produk Bundling Produk Rumah Tangga dari produksi/pembelian baru.,AKUN003437,2026-05-26 03:36:03
STK000022,PRD016832,UMK004218,SALE,-2,51,49,PENJUALAN,PJL000022,Pengurangan stok karena penjualan Paket Foto Katalog.,AKUN004468,2025-05-14 19:59:04
STK000023,PRD003653,UMK000944,SALE,-5,70,65,PENJUALAN,PJL000023,Pengurangan stok karena penjualan Dompet Kulit.,AKUN001194,2025-08-03 05:38:05
STK000024,PRD005343,UMK001356,RESTOCK,24,64,88,PEMBELIAN_STOK,RST-00000024,Restock produk Kue Kering dari produksi/pembelian baru.,AKUN001606,2024-10-14 12:31:19
STK000025,PRD001683,UMK000440,RESTOCK,25,22,47,PEMBELIAN_STOK,RST-00000025,Restock produk Template Invoice Digital dari produksi/pembelian baru.,AKUN000690,2025-11-25 12:02:26
STK000026,PRD004747,UMK001209,SALE,-1,348,347,PENJUALAN,PJL000026,Pengurangan stok karena penjualan Paket Sembako.,AKUN001459,2024-03-07 07:20:24
STK000027,PRD007110,UMK001791,RESTOCK,61,28,89,PEMBELIAN_STOK,RST-00000027,Restock produk Nasi Box dari produksi/pembelian baru.,AKUN002041,2026-04-06 08:51:56
STK000028,PRD012461,UMK003120,ADJUSTMENT,13,356,369,KOREKSI_STOK,,Penyesuaian stok hasil stock opname untuk Sari Lemon.,AKUN003370,2024-02-28 01:52:15
STK000029,PRD018073,UMK004531,SALE,-6,238,232,PENJUALAN,PJL000029,Pengurangan stok karena penjualan Abon Sapi.,AKUN004781,2026-01-23 23:08:12
STK000030,PRD013308,UMK003332,SALE,-4,27,23,PENJUALAN,PJL000030,Pengurangan stok karena penjualan Pouch Batik.,AKUN003582,2025-03-02 08:13:47
STK000031,PRD004505,UMK001150,CANCEL_SALE,2,89,91,PENJUALAN,PJL000031,Stok kembali karena pembatalan penjualan Jasa Reparasi Tas.,AKUN001400,2025-07-23 09:29:19
STK000032,PRD003538,UMK000914,SALE,-4,72,68,PENJUALAN,PJL000032,Pengurangan stok karena penjualan Konsultasi UMKM.,AKUN001164,2024-07-29 13:17:41
STK000033,PRD005011,UMK001277,SALE,-4,11,7,PENJUALAN,PJL000033,Pengurangan stok karena penjualan Kain Tenun.,AKUN001527,2026-05-25 11:04:08
STK000034,PRD003868,UMK000994,SALE,-4,150,146,PENJUALAN,PJL000034,Pengurangan stok karena penjualan Sari Lemon.,AKUN001244,2025-09-06 21:39:41
STK000035,PRD012283,UMK003072,SALE,-6,102,96,PENJUALAN,PJL000035,Pengurangan stok karena penjualan Frozen Food.,AKUN003322,2025-08-31 12:32:26
STK000036,PRD007150,UMK001804,RESTOCK,177,88,265,PEMBELIAN_STOK,RST-00000036,Restock produk Wedang Uwuh dari produksi/pembelian baru.,AKUN002054,2024-10-28 18:40:08
STK000037,PRD013195,UMK003306,SALE,-3,11,8,PENJUALAN,PJL000037,Pengurangan stok karena penjualan Aksesori HP.,AKUN003556,2026-05-07 20:02:03
STK000038,PRD011628,UMK002905,ADJUSTMENT,-29,174,145,KOREKSI_STOK,,Penyesuaian stok hasil stock opname untuk Peyek Kacang.,AKUN003155,2025-03-04 22:25:56
STK000039,PRD003482,UMK000899,RESTOCK,25,26,51,PEMBELIAN_STOK,RST-00000039,Restock produk Paket Reels Produk dari produksi/pembelian baru.,AKUN001149,2024-06-18 22:38:04
STK000040,PRD018289,UMK004586,SALE,-1,39,38,PENJUALAN,PJL000040,Pengurangan stok karena penjualan Sambal Cabai Kering.,AKUN004836,2024-02-12 22:38:16
STK000041,PRD016761,UMK004201,RESTOCK,120,143,263,PEMBELIAN_STOK,RST-00000041,Restock produk Kacang Bawang dari produksi/pembelian baru.,AKUN004451,2025-01-27 03:56:47
STK000042,PRD018233,UMK004573,ADJUSTMENT,6,169,175,KOREKSI_STOK,,Penyesuaian stok hasil stock opname untuk Sirup Jahe.,AKUN004823,2025-09-30 04:06:22
STK000043,PRD005012,UMK001277,SALE,-4,55,51,PENJUALAN,PJL000043,Pengurangan stok karena penjualan Dress Casual.,AKUN001527,2026-02-24 17:35:54
STK000044,PRD009594,UMK002400,SALE,-2,23,21,PENJUALAN,PJL000044,Pengurangan stok karena penjualan Katalog Interaktif.,AKUN002650,2024-03-02 16:38:23
STK000045,PRD016650,UMK004174,SALE,-3,235,232,PENJUALAN,PJL000045,Pengurangan stok karena penjualan Teh Herbal.,AKUN004424,2025-03-26 18:08:42
STK000046,PRD012449,UMK003116,SALE,-7,127,120,PENJUALAN,PJL000046,Pengurangan stok karena penjualan Sandal Kulit.,AKUN003366,2025-08-15 20:32:53
STK000047,PRD012791,UMK003201,RESTOCK,137,337,474,PEMBELIAN_STOK,RST-00000047,Restock produk Pastel Frozen dari produksi/pembelian baru.,AKUN003451,2026-01-02 15:01:06
STK000048,PRD004866,UMK001239,SALE,-2,5,3,PENJUALAN,PJL000048,Pengurangan stok karena penjualan Desain Banner Online.,AKUN001489,2025-07-07 14:35:33
STK000049,PRD018978,UMK004760,RESTOCK,99,120,219,PEMBELIAN_STOK,RST-00000049,Restock produk Pastel Frozen dari produksi/pembelian baru.,AKUN005010,2026-02-07 01:55:17
STK000050,PRD019852,UMK004979,CANCEL_SALE,4,299,303,PENJUALAN,PJL000050,Stok kembali karena pembatalan penjualan Perlengkapan Rumah.,AKUN005229,2025-04-13 01:37:04
STK000051,PRD017540,UMK004399,RESTOCK,79,66,145,PEMBELIAN_STOK,RST-00000051,Restock produk Serundeng Kelapa dari produksi/pembelian baru.,AKUN004649,2026-01-06 03:41:40
STK000052,PRD002195,UMK000572,ADJUSTMENT,-2,58,56,KOREKSI_STOK,,Penyesuaian stok hasil stock opname untuk Kaos Sablon.,AKUN000822,2025-07-03 21:10:04
STK000053,PRD001132,UMK000303,SALE,-2,46,44,PENJUALAN,PJL000053,Pengurangan stok karena penjualan Servis Elektronik.,AKUN000553,2024-03-21 23:42:12
STK000054,PRD011747,UMK002936,ADJUSTMENT,-10,104,94,KOREKSI_STOK,,Penyesuaian stok hasil stock opname untuk Kaos Sablon.,AKUN003186,2024-08-04 09:32:16
STK000055,PRD000300,UMK000081,SALE,-2,69,67,PENJUALAN,PJL000055,Pengurangan stok karena penjualan Produk Rajut.,AKUN000331,2024-05-25 02:30:07
STK000056,PRD005937,UMK001494,SALE,-4,159,155,PENJUALAN,PJL000056,Pengurangan stok karena penjualan Keripik Singkong.,AKUN001744,2026-03-23 05:03:37
STK000057,PRD016589,UMK004155,SALE,-4,4,0,PENJUALAN,PJL000057,Pengurangan stok karena penjualan Tempat Tisu Kayu.,AKUN004405,2025-12-20 10:01:20
STK000058,PRD002970,UMK000767,RESTOCK,92,69,161,PEMBELIAN_STOK,RST-00000058,Restock produk Brownies Kukus dari produksi/pembelian baru.,AKUN001017,2026-02-20 01:43:38
STK000059,PRD012524,UMK003134,SALE,-1,92,91,PENJUALAN,PJL000059,Pengurangan stok karena penjualan Lumpia Frozen.,AKUN003384,2025-12-01 02:03:58
STK000060,PRD009124,UMK002286,CANCEL_SALE,1,46,47,PENJUALAN,PJL000060,Stok kembali karena pembatalan penjualan Desain Label Produk.,AKUN002536,2025-11-12 00:10:45
STK000061,PRD003426,UMK000883,SALE,-6,112,106,PENJUALAN,PJL000061,Pengurangan stok karena penjualan Brownies Kukus.,AKUN001133,2024-12-08 06:14:09
STK000062,PRD012568,UMK003147,RESTOCK,61,70,131,PEMBELIAN_STOK,RST-00000062,Restock produk Kemeja Batik dari produksi/pembelian baru.,AKUN003397,2025-04-14 14:12:46
STK000063,PRD017883,UMK004481,RESTOCK,38,82,120,PEMBELIAN_STOK,RST-00000063,Restock produk Jasa Admin Marketplace dari produksi/pembelian baru.,AKUN004731,2025-06-11 12:09:49
STK000064,PRD004034,UMK001035,SALE,-3,293,290,PENJUALAN,PJL000064,Pengurangan stok karena penjualan Lumpia Frozen.,AKUN001285,2026-04-10 15:34:50
STK000065,PRD014147,UMK003544,RESTOCK,43,52,95,PEMBELIAN_STOK,RST-00000065,Restock produk Sepatu Kulit dari produksi/pembelian baru.,AKUN003794,2026-04-15 08:36:46
STK000066,PRD006321,UMK001591,RESTOCK,48,69,117,PEMBELIAN_STOK,RST-00000066,Restock produk Rengginang Gurih dari produksi/pembelian baru.,AKUN001841,2026-03-30 14:53:07
STK000067,PRD011773,UMK002943,RESTOCK,62,62,124,PEMBELIAN_STOK,RST-00000067,Restock produk Servis AC Rumahan dari produksi/pembelian baru.,AKUN003193,2024-11-24 17:33:12
STK000068,PRD015808,UMK003963,SALE,-2,38,36,PENJUALAN,PJL000068,Pengurangan stok karena penjualan Kursus Privat.,AKUN004213,2025-02-13 19:51:53
STK000069,PRD008442,UMK002112,SALE,-5,83,78,PENJUALAN,PJL000069,Pengurangan stok karena penjualan Lip Balm Natural.,AKUN002362,2025-03-10 00:20:23
STK000070,PRD016287,UMK004082,SALE,-2,33,31,PENJUALAN,PJL000070,Pengurangan stok karena penjualan Kemeja Batik.,AKUN004332,2024-02-04 22:59:34
STK000071,PRD001290,UMK000343,SALE,-4,127,123,PENJUALAN,PJL000071,Pengurangan stok karena penjualan Pastel Frozen.,AKUN000593,2025-07-27 23:52:23
STK000072,PRD005401,UMK001370,SALE,-3,227,224,PENJUALAN,PJL000072,Pengurangan stok karena penjualan Dimsum Ayam.,AKUN001620,2026-04-15 08:22:37
STK000073,PRD003148,UMK000813,SALE,-2,44,42,PENJUALAN,PJL000073,Pengurangan stok karena penjualan Jasa Optimasi Google Business.,AKUN001063,2026-01-26 06:08:43
STK000074,PRD019063,UMK004781,CANCEL_SALE,1,141,142,PENJUALAN,PJL000074,Stok kembali karena pembatalan penjualan Lip Balm Natural.,AKUN005031,2025-08-12 14:39:17
STK000075,PRD009267,UMK002321,ADJUSTMENT,-40,92,52,KOREKSI_STOK,,Penyesuaian stok hasil stock opname untuk Kain Tenun.,AKUN002571,2024-10-01 17:07:46
STK000076,PRD007328,UMK001848,SALE,-2,86,84,PENJUALAN,PJL000076,Pengurangan stok karena penjualan Shampoo Herbal.,AKUN002098,2026-04-30 12:47:02
STK000077,PRD006387,UMK001607,RESTOCK,91,81,172,PEMBELIAN_STOK,RST-00000077,Restock produk Sandal Kulit dari produksi/pembelian baru.,AKUN001857,2025-12-18 01:06:54
STK000078,PRD011166,UMK002795,SALE,-1,106,105,PENJUALAN,PJL000078,Pengurangan stok karena penjualan Paket Foto Katalog.,AKUN003045,2024-10-19 14:45:29
STK000079,PRD003537,UMK000913,SALE,-5,204,199,PENJUALAN,PJL000079,Pengurangan stok karena penjualan Brownies Kukus.,AKUN001163,2025-07-12 13:33:59
STK000080,PRD013462,UMK003371,SALE,-1,131,130,PENJUALAN,PJL000080,Pengurangan stok karena penjualan Kerajinan Kayu.,AKUN003621,2024-08-17 14:16:51
STK000081,PRD016197,UMK004061,SALE,-3,30,27,PENJUALAN,PJL000081,Pengurangan stok karena penjualan Pouch Batik.,AKUN004311,2026-02-12 04:53:26
STK000082,PRD013675,UMK003424,SALE,-2,67,65,PENJUALAN,PJL000082,Pengurangan stok karena penjualan Seragam Komunitas.,AKUN003674,2024-09-05 19:50:47
STK000083,PRD018620,UMK004675,SALE,-5,188,183,PENJUALAN,PJL000083,Pengurangan stok karena penjualan Body Scrub.,AKUN004925,2025-01-04 16:55:56
STK000084,PRD016458,UMK004124,SALE,-2,29,27,PENJUALAN,PJL000084,Pengurangan stok karena penjualan Kursus Privat.,AKUN004374,2024-11-04 04:56:00
STK000085,PRD014488,UMK003633,SALE,-2,126,124,PENJUALAN,PJL000085,Pengurangan stok karena penjualan Aneka ATK.,AKUN003883,2025-01-23 19:46:51
STK000086,PRD002237,UMK000584,RESTOCK,17,96,113,PEMBELIAN_STOK,RST-00000086,Restock produk Jahe Merah Instan dari produksi/pembelian baru.,AKUN000834,2026-05-17 07:28:02
STK000087,PRD008729,UMK002185,SALE,-2,69,67,PENJUALAN,PJL000087,Pengurangan stok karena penjualan Dress Casual.,AKUN002435,2025-10-11 13:57:47
STK000088,PRD009188,UMK002303,RESTOCK,157,286,443,PEMBELIAN_STOK,RST-00000088,Restock produk Jahe Merah Instan dari produksi/pembelian baru.,AKUN002553,2026-04-30 02:57:47
STK000089,PRD003901,UMK001001,RESTOCK,40,130,170,PEMBELIAN_STOK,RST-00000089,Restock produk Perlengkapan Warung dari produksi/pembelian baru.,AKUN001251,2024-06-24 10:02:05
STK000090,PRD014787,UMK003707,RESTOCK,35,197,232,PEMBELIAN_STOK,RST-00000090,Restock produk Masker Wajah dari produksi/pembelian baru.,AKUN003957,2026-02-25 06:06:33
STK000091,PRD010226,UMK002554,ADJUSTMENT,-31,261,230,KOREKSI_STOK,,Penyesuaian stok hasil stock opname untuk Body Scrub.,AKUN002804,2025-02-09 20:27:56
STK000092,PRD007440,UMK001872,SALE,-1,71,70,PENJUALAN,PJL000092,Pengurangan stok karena penjualan Kemeja Batik.,AKUN002122,2026-03-08 21:52:12
STK000093,PRD006906,UMK001741,SALE,-1,83,82,PENJUALAN,PJL000093,Pengurangan stok karena penjualan Katalog Interaktif.,AKUN001991,2024-10-10 11:32:41
STK000094,PRD019869,UMK004984,RESTOCK,30,269,299,PEMBELIAN_STOK,RST-00000094,Restock produk Peyek Kacang dari produksi/pembelian baru.,AKUN005234,2025-02-23 04:15:41
STK000095,PRD004232,UMK001082,RESTOCK,4,47,51,PEMBELIAN_STOK,RST-00000095,Restock produk Jasa Jahit Permak dari produksi/pembelian baru.,AKUN001332,2025-01-09 02:07:06
STK000096,PRD019469,UMK004884,RESTOCK,28,54,82,PEMBELIAN_STOK,RST-00000096,Restock produk Video Promosi dari produksi/pembelian baru.,AKUN005134,2026-03-09 02:24:24
STK000097,PRD005398,UMK001369,ADJUSTMENT,-24,107,83,KOREKSI_STOK,,Penyesuaian stok hasil stock opname untuk Produk Rajut.,AKUN001619,2025-07-29 09:31:25
STK000098,PRD010338,UMK002583,RESTOCK,55,162,217,PEMBELIAN_STOK,RST-00000098,Restock produk Serundeng Kelapa dari produksi/pembelian baru.,AKUN002833,2024-02-03 22:18:21
STK000099,PRD007247,UMK001826,SALE,-3,67,64,PENJUALAN,PJL000099,Pengurangan stok karena penjualan Template Invoice Digital.,AKUN002076,2025-08-21 10:49:52
STK000100,PRD002445,UMK000637,SALE,-1,337,336,PENJUALAN,PJL000100,Pengurangan stok karena penjualan Pastel Frozen.,AKUN000887,2024-11-10 07:16:14
STK000101,PRD010946,UMK002737,RESTOCK,82,324,406,PEMBELIAN_STOK,RST-00000101,Restock produk Produk Reseller dari produksi/pembelian baru.,AKUN002987,2025-07-21 08:03:10
STK000102,PRD007862,UMK001970,RESTOCK,75,322,397,PEMBELIAN_STOK,RST-00000102,Restock produk Lumpia Frozen dari produksi/pembelian baru.,AKUN002220,2024-11-18 16:12:10
STK000103,PRD008196,UMK002052,SALE,-1,148,147,PENJUALAN,PJL000103,Pengurangan stok karena penjualan Kopi Susu Botol.,AKUN002302,2025-08-25 09:25:12
STK000104,PRD016312,UMK004087,SALE,-1,495,494,PENJUALAN,PJL000104,Pengurangan stok karena penjualan Perlengkapan Rumah.,AKUN004337,2024-01-29 09:34:42
STK000105,PRD017606,UMK004414,SALE,-3,52,49,PENJUALAN,PJL000105,Pengurangan stok karena penjualan Miniatur Wayang.,AKUN004664,2025-09-03 07:11:30
STK000106,PRD013563,UMK003396,ADJUSTMENT,40,92,132,KOREKSI_STOK,,Penyesuaian stok hasil stock opname untuk Telur Asin.,AKUN003646,2024-05-13 01:13:06
STK000107,PRD013835,UMK003462,SALE,-4,30,26,PENJUALAN,PJL000107,Pengurangan stok karena penjualan Jasa Desain Logo.,AKUN003712,2025-06-02 17:28:48
STK000108,PRD012072,UMK003017,RESTOCK,15,21,36,PEMBELIAN_STOK,RST-00000108,Restock produk Paket Reels Produk dari produksi/pembelian baru.,AKUN003267,2026-04-08 12:23:19
STK000109,PRD018823,UMK004725,SALE,-1,140,139,PENJUALAN,PJL000109,Pengurangan stok karena penjualan Kopi Susu Botol.,AKUN004975,2025-04-30 14:11:59
STK000110,PRD018138,UMK004549,RESTOCK,29,49,78,PEMBELIAN_STOK,RST-00000110,Restock produk Jasa Cleaning dari produksi/pembelian baru.,AKUN004799,2024-08-02 06:47:35
STK000111,PRD003990,UMK001024,ADJUSTMENT,2,122,124,KOREKSI_STOK,,Penyesuaian stok hasil stock opname untuk Nasi Box.,AKUN001274,2024-09-07 06:19:26
STK000112,PRD008120,UMK002033,SALE,-4,80,76,PENJUALAN,PJL000112,Pengurangan stok karena penjualan Keripik Singkong.,AKUN002283,2025-11-12 17:55:31
STK000113,PRD004708,UMK001201,ADJUSTMENT,1,15,16,KOREKSI_STOK,,Penyesuaian stok hasil stock opname untuk Desain Label Produk.,AKUN001451,2024-03-31 14:33:42
STK000114,PRD010045,UMK002511,SALE,-1,67,66,PENJUALAN,PJL000114,Pengurangan stok karena penjualan Anyaman Bambu.,AKUN002761,2026-02-03 16:36:06
STK000115,PRD004648,UMK001185,RESTOCK,54,245,299,PEMBELIAN_STOK,RST-00000115,Restock produk Produk Konsinyasi Lokal dari produksi/pembelian baru.,AKUN001435,2024-12-04 03:32:11
STK000116,PRD018944,UMK004752,SALE,-4,38,34,PENJUALAN,PJL000116,Pengurangan stok karena penjualan Souvenir Pernikahan.,AKUN005002,2025-06-02 21:59:54
STK000117,PRD004071,UMK001044,SALE,-2,41,39,PENJUALAN,PJL000117,Pengurangan stok karena penjualan Tas Rajut.,AKUN001294,2026-01-23 15:34:58
STK000118,PRD002622,UMK000682,SALE,-1,204,203,PENJUALAN,PJL000118,Pengurangan stok karena penjualan Peralatan Dapur.,AKUN000932,2024-05-15 15:50:24
STK000119,PRD004105,UMK001053,RESTOCK,159,162,321,PEMBELIAN_STOK,RST-00000119,Restock produk Teh Herbal dari produksi/pembelian baru.,AKUN001303,2024-12-26 13:59:44
STK000120,PRD015108,UMK003783,SALE,-6,111,105,PENJUALAN,PJL000120,Pengurangan stok karena penjualan Rengginang Gurih.,AKUN004033,2024-06-03 18:28:25
STK000121,PRD014945,UMK003743,SALE,-4,299,295,PENJUALAN,PJL000121,Pengurangan stok karena penjualan Keripik Pisang.,AKUN003993,2026-05-23 02:24:23
STK000122,PRD004645,UMK001184,CANCEL_SALE,4,120,124,PENJUALAN,PJL000122,Stok kembali karena pembatalan penjualan Hair Tonic Herbal.,AKUN001434,2025-11-29 07:44:07
STK000123,PRD009801,UMK002449,SALE,-7,212,205,PENJUALAN,PJL000123,Pengurangan stok karena penjualan Pempek Frozen.,AKUN002699,2025-07-19 15:54:30
STK000124,PRD009139,UMK002289,RESTOCK,147,45,192,PEMBELIAN_STOK,RST-00000124,Restock produk Dress Casual dari produksi/pembelian baru.,AKUN002539,2025-01-13 22:35:20
STK000125,PRD017091,UMK004284,CANCEL_SALE,4,99,103,PENJUALAN,PJL000125,Stok kembali karena pembatalan penjualan Kemeja Linen.,AKUN004534,2026-03-30 12:09:47
STK000126,PRD011594,UMK002898,ADJUSTMENT,21,21,42,KOREKSI_STOK,,Penyesuaian stok hasil stock opname untuk Dekorasi Rumah.,AKUN003148,2024-03-18 02:27:04
STK000127,PRD014149,UMK003544,SALE,-3,109,106,PENJUALAN,PJL000127,Pengurangan stok karena penjualan Totebag Kanvas.,AKUN003794,2025-11-27 00:44:52
STK000128,PRD009644,UMK002411,SALE,-1,38,37,PENJUALAN,PJL000128,Pengurangan stok karena penjualan Kacang Bawang.,AKUN002661,2024-01-22 00:11:47
STK000129,PRD017660,UMK004427,SALE,-4,63,59,PENJUALAN,PJL000129,Pengurangan stok karena penjualan Paket Hampers.,AKUN004677,2025-07-24 04:59:09
STK000130,PRD010385,UMK002595,SALE,-3,48,45,PENJUALAN,PJL000130,Pengurangan stok karena penjualan Kemeja Batik.,AKUN002845,2024-05-12 08:16:17
STK000131,PRD011881,UMK002970,SALE,-1,243,242,PENJUALAN,PJL000131,Pengurangan stok karena penjualan Perlengkapan Warung.,AKUN003220,2025-05-28 06:16:10
STK000132,PRD011872,UMK002968,SALE,-1,307,306,PENJUALAN,PJL000132,Pengurangan stok karena penjualan Peralatan Dapur.,AKUN003218,2025-03-29 03:11:52
STK000133,PRD003128,UMK000808,SALE,-1,444,443,PENJUALAN,PJL000133,Pengurangan stok karena penjualan Produk Konsinyasi Lokal.,AKUN001058,2025-11-02 12:27:34
STK000134,PRD005563,UMK001409,SALE,-4,145,141,PENJUALAN,PJL000134,Pengurangan stok karena penjualan Kacang Bawang.,AKUN001659,2024-07-09 00:36:33
STK000135,PRD005643,UMK001427,CANCEL_SALE,2,33,35,PENJUALAN,PJL000135,Stok kembali karena pembatalan penjualan Landing Page UMKM.,AKUN001677,2024-03-23 18:14:30
STK000136,PRD003870,UMK000994,RESTOCK,32,179,211,PEMBELIAN_STOK,RST-00000136,Restock produk Susu Kambing Bubuk dari produksi/pembelian baru.,AKUN001244,2024-10-25 11:33:42
STK000137,PRD003747,UMK000966,SALE,-1,1,0,PENJUALAN,PJL000137,Pengurangan stok karena penjualan Jasa Desain Logo.,AKUN001216,2024-10-08 12:36:31
STK000138,PRD015155,UMK003796,CANCEL_SALE,6,141,147,PENJUALAN,PJL000138,Stok kembali karena pembatalan penjualan Sabun Herbal.,AKUN004046,2024-05-09 14:00:01
STK000139,PRD008835,UMK002213,SALE,-1,61,60,PENJUALAN,PJL000139,Pengurangan stok karena penjualan Pastel Frozen.,AKUN002463,2024-03-12 03:19:14
STK000140,PRD019232,UMK004819,SALE,-1,221,220,PENJUALAN,PJL000140,Pengurangan stok karena penjualan Produk Konsinyasi Lokal.,AKUN005069,2024-03-27 00:36:40
STK000141,PRD001288,UMK000343,SALE,-5,103,98,PENJUALAN,PJL000141,Pengurangan stok karena penjualan Sirup Jahe.,AKUN000593,2025-11-28 21:31:46
STK000142,PRD016473,UMK004127,CANCEL_SALE,5,135,140,PENJUALAN,PJL000142,Stok kembali karena pembatalan penjualan Jahe Merah Instan.,AKUN004377,2024-12-18 08:18:42
STK000143,PRD004400,UMK001123,SALE,-1,58,57,PENJUALAN,PJL000143,Pengurangan stok karena penjualan Anyaman Bambu.,AKUN001373,2026-05-19 22:27:04
STK000144,PRD008403,UMK002104,SALE,-2,52,50,PENJUALAN,PJL000144,Pengurangan stok karena penjualan Lumpia Frozen.,AKUN002354,2024-11-18 14:41:49
STK000145,PRD013340,UMK003341,SALE,-4,90,86,PENJUALAN,PJL000145,Pengurangan stok karena penjualan Peyek Kacang.,AKUN003591,2025-04-17 13:36:06
STK000146,PRD002812,UMK000729,SALE,-1,126,125,PENJUALAN,PJL000146,Pengurangan stok karena penjualan Aromaterapi.,AKUN000979,2024-03-02 08:50:42
STK000147,PRD019647,UMK004927,RESTOCK,159,216,375,PEMBELIAN_STOK,RST-00000147,Restock produk Jamur Tiram dari produksi/pembelian baru.,AKUN005177,2025-10-04 20:38:46
STK000148,PRD007981,UMK001999,SALE,-3,81,78,PENJUALAN,PJL000148,Pengurangan stok karena penjualan Hampers UMKM.,AKUN002249,2024-10-30 16:04:19
STK000149,PRD013095,UMK003278,SALE,-2,185,183,PENJUALAN,PJL000149,Pengurangan stok karena penjualan Pastel Frozen.,AKUN003528,2024-10-02 19:21:12
STK000150,PRD000082,UMK000024,RESTOCK,132,49,181,PEMBELIAN_STOK,RST-00000150,Restock produk Lilin Aromaterapi dari produksi/pembelian baru.,AKUN000274,2025-10-20 23:55:24
STK000151,PRD004687,UMK001195,SALE,-1,97,96,PENJUALAN,PJL000151,Pengurangan stok karena penjualan Sandal Kulit.,AKUN001445,2025-04-28 11:41:44
STK000152,PRD005328,UMK001353,ADJUSTMENT,15,15,30,KOREKSI_STOK,,Penyesuaian stok hasil stock opname untuk Sirup Jahe.,AKUN001603,2024-02-08 04:50:42
