penjualan_id,umkm_id,tanggal_transaksi,nomor_transaksi,total_omzet,total_laba,total_item,catatan,status_transaksi,created_by_akun_id,created_at,updated_at
PJL000023,UMK000944,2025-08-02,SALE-2025-00000023,487500,128300,5,Rekap transaksi penjualan untuk analisis omzet.,FINAL,AKUN001194,2025-08-03 05:37:05,2025-08-03 05:37:05
PJL000024,UMK000027,2025-02-09,SALE-2025-00000024,862000,205300,4,Penjualan produk utama dan produk pendukung.,FINAL,AKUN000277,2025-02-09 19:06:29,2025-02-09 19:06:29
PJL000025,UMK004881,2026-03-03,SALE-2026-00000025,252500,117200,5,Data penjualan masuk dari pencatatan operasional UMKM.,FINAL,AKUN005131,2026-03-03 17:05:13,2026-03-03 17:05:13
PJL000026,UMK001209,2024-03-07,SALE-2024-00000026,644000,165500,1,Data penjualan masuk dari pencatatan operasional UMKM.,FINAL,AKUN001459,2024-03-07 09:07:24,2024-03-07 09:07:24
PJL000027,UMK003425,2024-11-07,SALE-2024-00000027,855000,343600,1,Transaksi final dari rekap UMKM.,FINAL,AKUN003675,2024-11-07 09:16:26,2024-11-07 09:16:26
PJL000028,UMK003120,2024-05-22,SALE-2024-00000028,251000,97400,1,Rekap transaksi penjualan untuk analisis omzet.,CANCELLED,AKUN003370,2024-05-22 09:13:31,2024-05-22 11:24:31
PJL000029,UMK004531,2026-01-23,SALE-2026-00000029,525000,179500,6,Data penjualan masuk dari pencatatan operasional UMKM.,FINAL,AKUN004781,2026-01-23 13:51:12,2026-01-23 13:51:12
PJL000030,UMK003332,2025-03-02,SALE-2025-00000030,202000,39900,4,Penjualan harian dari kanal offline dan/atau online.,FINAL,AKUN003582,2025-03-02 08:39:47,2025-03-02 08:39:47
PJL000031,UMK001150,2025-07-22,SALE-2025-00000031,2300000,531700,2,Data penjualan masuk dari pencatatan operasional UMKM.,FINAL,AKUN001400,2025-07-23 07:45:19,2025-07-23 07:45:19
PJL000032,UMK000914,2024-07-28,SALE-2024-00000032,1182000,549600,4,Transaksi final dari rekap UMKM.,FINAL,AKUN001164,2024-07-28 22:01:41,2024-07-28 22:01:41
PJL000033,UMK001277,2026-05-24,SALE-2026-00000033,1434000,336600,4,Penjualan harian dari kanal offline dan/atau online.,FINAL,AKUN001527,2026-05-25 10:20:08,2026-05-25 10:20:08
PJL000034,UMK000994,2025-09-06,SALE-2025-00000034,872000,266200,4,Data penjualan masuk dari pencatatan operasional UMKM.,FINAL,AKUN001244,2025-09-06 23:11:41,2025-09-06 23:11:41
PJL000035,UMK003072,2025-08-30,SALE-2025-00000035,309000,108600,6,Penjualan produk utama dan produk pendukung.,FINAL,AKUN003322,2025-08-31 03:50:26,2025-08-31 03:50:26
PJL000036,UMK003887,2024-11-24,SALE-2024-00000036,123500,31700,1,Penjualan produk utama dan produk pendukung.,FINAL,AKUN004137,2024-11-24 07:46:38,2024-11-24 07:46:38
PJL000037,UMK003306,2026-05-07,SALE-2026-00000037,826500,327300,3,Data penjualan masuk dari pencatatan operasional UMKM.,FINAL,AKUN003556,2026-05-07 21:13:03,2026-05-07 21:13:03
PJL000038,UMK002248,2024-08-29,SALE-2024-00000038,1524000,759300,4,Penjualan harian dari kanal offline dan/atau online.,FINAL,AKUN002498,2024-08-29 06:58:29,2024-08-29 06:58:29
PJL000039,UMK002984,2024-11-24,SALE-2024-00000039,114000,31900,1,Penjualan harian dari kanal offline dan/atau online.,FINAL,AKUN003234,2024-11-25 09:50:28,2024-11-25 09:50:28
PJL000040,UMK004586,2024-02-12,SALE-2024-00000040,17500,7000,1,Rekap transaksi penjualan untuk analisis omzet.,FINAL,AKUN004836,2024-02-13 02:36:16,2024-02-13 02:36:16
PJL000041,UMK002730,2025-09-20,SALE-2025-00000041,392000,98100,4,Penjualan harian dari kanal offline dan/atau online.,FINAL,AKUN002980,2025-09-20 11:53:05,2025-09-20 11:53:05
PJL000042,UMK000259,2025-07-11,SALE-2025-00000042,265000,95600,2,Penjualan produk utama dan produk pendukung.,CANCELLED,AKUN000509,2025-07-11 17:15:27,2025-07-11 19:18:27
PJL000043,UMK001277,2026-02-24,SALE-2026-00000043,1154000,389500,4,Penjualan harian dari kanal offline dan/atau online.,FINAL,AKUN001527,2026-02-24 18:47:54,2026-02-24 18:47:54
PJL000044,UMK002400,2024-03-02,SALE-2024-00000044,2212000,1023000,2,Transaksi final dari rekap UMKM.,FINAL,AKUN002650,2024-03-02 14:32:23,2024-03-02 14:32:23
PJL000045,UMK004174,2025-03-26,SALE-2025-00000045,484500,141500,3,Data penjualan masuk dari pencatatan operasional UMKM.,FINAL,AKUN004424,2025-03-27 06:58:42,2025-03-27 06:58:42
PJL000046,UMK003116,2025-08-15,SALE-2025-00000046,416500,122100,7,Transaksi final dari rekap UMKM.,FINAL,AKUN003366,2025-08-15 23:18:53,2025-08-15 23:18:53
PJL000047,UMK000935,2026-01-18,SALE-2026-00000047,2149000,483900,2,Rekap transaksi penjualan untuk analisis omzet.,FINAL,AKUN001185,2026-01-19 05:45:22,2026-01-19 05:45:22
PJL000048,UMK001239,2025-07-06,SALE-2025-00000048,2489000,1089000,2,Penjualan harian dari kanal offline dan/atau online.,FINAL,AKUN001489,2025-07-07 03:52:33,2025-07-07 03:52:33
PJL000049,UMK004301,2025-05-21,SALE-2025-00000049,205500,104300,1,Rekap transaksi penjualan untuk analisis omzet.,FINAL,AKUN004551,2025-05-21 09:28:07,2025-05-21 09:28:07
PJL000050,UMK004979,2025-04-12,SALE-2025-00000050,1322000,663900,4,Penjualan harian dari kanal offline dan/atau online.,FINAL,AKUN005229,2025-04-13 00:43:04,2025-04-13 00:43:04
PJL000051,UMK001873,2025-12-03,SALE-2025-00000051,1332000,459800,4,Transaksi final dari rekap UMKM.,FINAL,AKUN002123,2025-12-03 13:41:54,2025-12-03 13:41:54
PJL000052,UMK003901,2024-05-12,SALE-2024-00000052,63500,23500,1,Penjualan harian dari kanal offline dan/atau online.,FINAL,AKUN004151,2024-05-13 05:03:15,2024-05-13 05:03:15
PJL000053,UMK000303,2024-03-21,SALE-2024-00000053,824000,245100,2,Penjualan harian dari kanal offline dan/atau online.,FINAL,AKUN000553,2024-03-21 20:22:12,2024-03-21 20:22:12
PJL000054,UMK003744,2026-05-23,SALE-2026-00000054,2940000,565100,30,Transaksi final dari rekap UMKM.,FINAL,AKUN003994,2026-05-24 07:15:43,2026-05-24 07:15:43
PJL000055,UMK000081,2024-05-24,SALE-2024-00000055,1123000,544900,2,Transaksi final dari rekap UMKM.,FINAL,AKUN000331,2024-05-24 23:53:07,2024-05-24 23:53:07
PJL000056,UMK001494,2026-03-22,SALE-2026-00000056,440000,153700,4,Penjualan harian dari kanal offline dan/atau online.,FINAL,AKUN001744,2026-03-22 10:57:37,2026-03-22 10:57:37
PJL000057,UMK004155,2025-12-20,SALE-2025-00000057,860000,386600,4,Transaksi final dari rekap UMKM.,FINAL,AKUN004405,2025-12-20 21:35:20,2025-12-20 21:35:20
PJL000058,UMK003920,2025-11-16,SALE-2025-00000058,322000,139500,7,Penjualan harian dari kanal offline dan/atau online.,FINAL,AKUN004170,2025-11-17 05:05:24,2025-11-17 05:05:24
PJL000059,UMK003134,2025-12-01,SALE-2025-00000059,125500,32700,1,Penjualan produk utama dan produk pendukung.,FINAL,AKUN003384,2025-12-01 09:10:58,2025-12-01 09:10:58
PJL000060,UMK002286,2025-11-11,SALE-2025-00000060,1147500,257700,1,Penjualan harian dari kanal offline dan/atau online.,FINAL,AKUN002536,2025-11-12 08:58:45,2025-11-12 08:58:45
PJL000061,UMK000883,2024-12-08,SALE-2024-00000061,591000,176200,6,Transaksi final dari rekap UMKM.,FINAL,AKUN001133,2024-12-08 14:30:09,2024-12-08 14:30:09
PJL000062,UMK002552,2025-04-23,SALE-2025-00000062,2184000,510000,1,Penjualan harian dari kanal offline dan/atau online.,FINAL,AKUN002802,2025-04-23 18:17:20,2025-04-23 18:17:20
PJL000063,UMK001566,2026-01-12,SALE-2026-00000063,234000,96100,4,Penjualan harian dari kanal offline dan/atau online.,FINAL,AKUN001816,2026-01-13 02:28:23,2026-01-13 02:28:23
PJL000064,UMK001035,2026-04-10,SALE-2026-00000064,639000,262700,3,Rekap transaksi penjualan untuk analisis omzet.,FINAL,AKUN001285,2026-04-10 11:24:50,2026-04-10 11:24:50
PJL000065,UMK003646,2025-02-04,SALE-2025-00000065,787500,390400,3,Data penjualan masuk dari pencatatan operasional UMKM.,FINAL,AKUN003896,2025-02-04 23:37:21,2025-02-04 23:37:21
PJL000066,UMK001311,2025-03-07,SALE-2025-00000066,265000,133400,2,Transaksi final dari rekap UMKM.,FINAL,AKUN001561,2025-03-07 18:11:35,2025-03-07 18:11:35
PJL000067,UMK004123,2024-12-23,SALE-2024-00000067,142500,48500,1,Transaksi final dari rekap UMKM.,DRAFT,AKUN004373,2024-12-24 02:17:15,2024-12-24 04:43:15
PJL000068,UMK003963,2025-02-13,SALE-2025-00000068,1806000,439100,2,Transaksi final dari rekap UMKM.,FINAL,AKUN004213,2025-02-13 06:50:53,2025-02-13 06:50:53
PJL000069,UMK002112,2025-03-09,SALE-2025-00000069,330000,131400,5,Transaksi final dari rekap UMKM.,FINAL,AKUN002362,2025-03-09 15:20:23,2025-03-09 15:20:23
PJL000070,UMK004082,2024-02-04,SALE-2024-00000070,1248000,565400,2,Penjualan produk utama dan produk pendukung.,CANCELLED,AKUN004332,2024-02-05 11:42:34,2024-02-05 15:39:34
PJL000071,UMK000343,2025-07-27,SALE-2025-00000071,516000,219100,4,Penjualan produk utama dan produk pendukung.,FINAL,AKUN000593,2025-07-28 07:47:23,2025-07-28 07:47:23
PJL000072,UMK001370,2026-04-14,SALE-2026-00000072,441000,119300,3,Transaksi final dari rekap UMKM.,FINAL,AKUN001620,2026-04-15 07:10:37,2026-04-15 07:10:37
PJL000073,UMK000813,2026-01-26,SALE-2026-00000073,5469000,987300,2,Transaksi final dari rekap UMKM.,CANCELLED,AKUN001063,2026-01-26 16:47:43,2026-01-26 19:23:43
PJL000074,UMK004781,2025-08-12,SALE-2025-00000074,252500,55500,1,Penjualan harian dari kanal offline dan/atau online.,FINAL,AKUN005031,2025-08-12 13:23:17,2025-08-12 13:23:17
PJL000075,UMK001322,2024-12-10,SALE-2024-00000075,1665000,404700,2,Penjualan produk utama dan produk pendukung.,FINAL,AKUN001572,2024-12-10 11:35:33,2024-12-10 11:35:33
PJL000076,UMK001848,2026-04-29,SALE-2026-00000076,309000,140800,2,Data penjualan masuk dari pencatatan operasional UMKM.,FINAL,AKUN002098,2026-04-30 00:19:02,2026-04-30 00:19:02
PJL000077,UMK002575,2024-02-14,SALE-2024-00000077,1027000,307600,1,Penjualan harian dari kanal offline dan/atau online.,FINAL,AKUN002825,2024-02-14 20:38:47,2024-02-14 20:38:47
PJL000078,UMK002795,2024-10-19,SALE-2024-00000078,2799000,1036000,1,Data penjualan masuk dari pencatatan operasional UMKM.,DRAFT,AKUN003045,2024-10-19 15:25:29,2024-10-19 15:54:29
PJL000079,UMK000913,2025-07-12,SALE-2025-00000079,317500,60200,5,Data penjualan masuk dari pencatatan operasional UMKM.,FINAL,AKUN001163,2025-07-12 10:08:59,2025-07-12 10:08:59
PJL000080,UMK003371,2024-08-17,SALE-2024-00000080,332000,169900,1,Rekap transaksi penjualan untuk analisis omzet.,FINAL,AKUN003621,2024-08-17 08:05:51,2024-08-17 08:05:51
PJL000081,UMK004061,2026-02-12,SALE-2026-00000081,1125000,582100,3,Transaksi final dari rekap UMKM.,FINAL,AKUN004311,2026-02-12 08:17:26,2026-02-12 08:17:26
PJL000082,UMK003424,2024-09-05,SALE-2024-00000082,584000,292000,2,Penjualan produk utama dan produk pendukung.,FINAL,AKUN003674,2024-09-05 02:23:47,2024-09-05 02:23:47
PJL000083,UMK004675,2025-01-04,SALE-2025-00000083,445000,167100,5,Data penjualan masuk dari pencatatan operasional UMKM.,FINAL,AKUN004925,2025-01-04 10:40:56,2025-01-04 10:40:56
PJL000084,UMK004124,2024-11-03,SALE-2024-00000084,1240000,270900,2,Rekap transaksi penjualan untuk analisis omzet.,FINAL,AKUN004374,2024-11-03 21:16:00,2024-11-03 21:16:00
PJL000085,UMK003633,2025-01-23,SALE-2025-00000085,898000,288500,2,Penjualan harian dari kanal offline dan/atau online.,FINAL,AKUN003883,2025-01-23 20:19:51,2025-01-23 20:19:51
PJL000086,UMK001153,2025-02-17,SALE-2025-00000086,155500,50400,1,Penjualan harian dari kanal offline dan/atau online.,FINAL,AKUN001403,2025-02-18 05:34:44,2025-02-18 05:34:44
PJL000087,UMK002185,2025-10-11,SALE-2025-00000087,242000,100100,2,Data penjualan masuk dari pencatatan operasional UMKM.,CANCELLED,AKUN002435,2025-10-11 19:51:47,2025-10-11 23:05:47
PJL000088,UMK002970,2025-04-28,SALE-2025-00000088,126000,55500,7,Transaksi final dari rekap UMKM.,FINAL,AKUN003220,2025-04-28 14:08:12,2025-04-28 14:08:12
PJL000089,UMK000289,2025-01-01,SALE-2025-00000089,1963000,531200,2,Penjualan produk utama dan produk pendukung.,FINAL,AKUN000539,2025-01-01 18:04:31,2025-01-01 18:04:31
PJL000090,UMK003666,2026-04-29,SALE-2026-00000090,810000,236800,4,Rekap transaksi penjualan untuk analisis omzet.,FINAL,AKUN003916,2026-04-30 01:28:09,2026-04-30 01:28:09
PJL000091,UMK001876,2024-12-31,SALE-2024-00000091,314000,88300,4,Transaksi final dari rekap UMKM.,FINAL,AKUN002126,2024-12-31 10:41:17,2024-12-31 10:41:17
PJL000092,UMK001872,2026-03-08,SALE-2026-00000092,221000,101200,1,Transaksi final dari rekap UMKM.,FINAL,AKUN002122,2026-03-09 06:47:12,2026-03-09 06:47:12
PJL000093,UMK001741,2024-10-10,SALE-2024-00000093,1902000,502900,1,Transaksi final dari rekap UMKM.,FINAL,AKUN001991,2024-10-11 04:10:41,2024-10-11 04:10:41
PJL000094,UMK003940,2025-10-04,SALE-2025-00000094,348000,168300,3,Penjualan harian dari kanal offline dan/atau online.,FINAL,AKUN004190,2025-10-05 05:14:13,2025-10-05 05:14:13
PJL000095,UMK002489,2024-09-09,SALE-2024-00000095,181500,39200,11,Penjualan harian dari kanal offline dan/atau online.,FINAL,AKUN002739,2024-09-09 15:47:32,2024-09-09 15:47:32
PJL000096,UMK000084,2026-02-21,SALE-2026-00000096,496000,156400,4,Data penjualan masuk dari pencatatan operasional UMKM.,FINAL,AKUN000334,2026-02-22 14:05:27,2026-02-22 14:05:27
PJL000097,UMK004903,2024-07-04,SALE-2024-00000097,740000,349900,4,Penjualan harian dari kanal offline dan/atau online.,FINAL,AKUN005153,2024-07-05 11:56:58,2024-07-05 11:56:58
PJL000098,UMK003721,2024-09-06,SALE-2024-00000098,71000,20000,2,Transaksi final dari rekap UMKM.,FINAL,AKUN003971,2024-09-06 16:35:59,2024-09-06 16:35:59
PJL000099,UMK001826,2025-08-21,SALE-2025-00000099,696000,251000,3,Penjualan produk utama dan produk pendukung.,FINAL,AKUN002076,2025-08-21 13:45:52,2025-08-21 13:45:52
PJL000100,UMK000637,2024-11-09,SALE-2024-00000100,35500,17800,1,Transaksi final dari rekap UMKM.,FINAL,AKUN000887,2024-11-09 20:11:14,2024-11-09 20:11:14
PJL000101,UMK004645,2024-06-04,SALE-2024-00000101,447000,195400,6,Penjualan produk utama dan produk pendukung.,FINAL,AKUN004895,2024-06-05 00:08:01,2024-06-05 00:08:01
PJL000102,UMK001246,2024-10-09,SALE-2024-00000102,168000,75000,2,Rekap transaksi penjualan untuk analisis omzet.,FINAL,AKUN001496,2024-10-09 19:22:49,2024-10-09 19:22:49
PJL000103,UMK002052,2025-08-24,SALE-2025-00000103,109000,38600,1,Penjualan produk utama dan produk pendukung.,FINAL,AKUN002302,2025-08-24 16:03:12,2025-08-24 16:03:12
PJL000104,UMK004087,2024-01-28,SALE-2024-00000104,575000,241200,1,Transaksi final dari rekap UMKM.,FINAL,AKUN004337,2024-01-29 08:12:42,2024-01-29 08:12:42
PJL000105,UMK004414,2025-09-02,SALE-2025-00000105,85500,17500,3,Penjualan produk utama dan produk pendukung.,FINAL,AKUN004664,2025-09-02 19:33:30,2025-09-02 19:33:30
PJL000106,UMK004377,2024-08-11,SALE-2024-00000106,119000,32900,2,Penjualan produk utama dan produk pendukung.,FINAL,AKUN004627,2024-08-11 08:24:57,2024-08-11 08:24:57
PJL000107,UMK003462,2025-06-01,SALE-2025-00000107,1068000,451600,4,Penjualan harian dari kanal offline dan/atau online.,FINAL,AKUN003712,2025-06-02 07:02:48,2025-06-02 07:02:48
PJL000108,UMK004198,2025-02-11,SALE-2025-00000108,58000,16700,2,Penjualan produk utama dan produk pendukung.,CANCELLED,AKUN004448,2025-02-11 23:10:46,2025-02-12 02:47:46
PJL000109,UMK004725,2025-04-29,SALE-2025-00000109,92000,46100,1,Rekap transaksi penjualan untuk analisis omzet.,FINAL,AKUN004975,2025-04-30 12:56:59,2025-04-30 12:56:59
PJL000110,UMK004153,2025-09-24,SALE-2025-00000110,382500,133400,9,Penjualan produk utama dan produk pendukung.,FINAL,AKUN004403,2025-09-24 08:42:18,2025-09-24 08:42:18
PJL000111,UMK000095,2025-02-19,SALE-2025-00000111,1164000,536300,4,Transaksi final dari rekap UMKM.,FINAL,AKUN000345,2025-02-19 23:31:16,2025-02-19 23:31:16
PJL000112,UMK002033,2025-11-12,SALE-2025-00000112,446000,142300,4,Data penjualan masuk dari pencatatan operasional UMKM.,FINAL,AKUN002283,2025-11-12 23:19:31,2025-11-12 23:19:31
PJL000113,UMK001811,2024-08-17,SALE-2024-00000113,3964000,1991100,2,Penjualan produk utama dan produk pendukung.,FINAL,AKUN002061,2024-08-17 19:15:29,2024-08-17 19:15:29
PJL000114,UMK002511,2026-02-03,SALE-2026-00000114,442000,130000,1,Penjualan harian dari kanal offline dan/atau online.,FINAL,AKUN002761,2026-02-03 18:03:06,2026-02-03 18:03:06
PJL000115,UMK002154,2025-01-04,SALE-2025-00000115,2983000,773500,2,Data penjualan masuk dari pencatatan operasional UMKM.,FINAL,AKUN002404,2025-01-04 20:32:32,2025-01-04 20:32:32
PJL000116,UMK004752,2025-06-02,SALE-2025-00000116,632000,284700,4,Penjualan produk utama dan produk pendukung.,FINAL,AKUN005002,2025-06-03 03:17:54,2025-06-03 03:17:54
PJL000117,UMK001044,2026-01-23,SALE-2026-00000117,216000,85800,2,Rekap transaksi penjualan untuk analisis omzet.,FINAL,AKUN001294,2026-01-23 23:00:58,2026-01-23 23:00:58
PJL000118,UMK000682,2024-05-15,SALE-2024-00000118,496000,108100,1,Data penjualan masuk dari pencatatan operasional UMKM.,FINAL,AKUN000932,2024-05-16 01:48:24,2024-05-16 01:48:24
PJL000119,UMK004108,2024-03-09,SALE-2024-00000119,656000,205100,4,Rekap transaksi penjualan untuk analisis omzet.,FINAL,AKUN004358,2024-03-10 00:37:04,2024-03-10 00:37:04
PJL000120,UMK003783,2024-06-03,SALE-2024-00000120,339000,92000,6,Transaksi final dari rekap UMKM.,FINAL,AKUN004033,2024-06-03 15:42:25,2024-06-03 15:42:25
PJL000121,UMK003743,2026-05-22,SALE-2026-00000121,1124000,317300,4,Penjualan harian dari kanal offline dan/atau online.,FINAL,AKUN003993,2026-05-23 05:29:23,2026-05-23 05:29:23
PJL000122,UMK001184,2025-11-28,SALE-2025-00000122,150000,52300,4,Rekap transaksi penjualan untuk analisis omzet.,FINAL,AKUN001434,2025-11-29 12:30:07,2025-11-29 12:30:07
PJL000123,UMK002449,2025-07-19,SALE-2025-00000123,563500,203200,7,Transaksi final dari rekap UMKM.,FINAL,AKUN002699,2025-07-19 09:50:30,2025-07-19 09:50:30
PJL000124,UMK000337,2025-05-15,SALE-2025-00000124,850000,311400,4,Transaksi final dari rekap UMKM.,FINAL,AKUN000587,2025-05-15 12:01:42,2025-05-15 12:01:42
PJL000125,UMK004284,2026-03-29,SALE-2026-00000125,1386000,698200,4,Data penjualan masuk dari pencatatan operasional UMKM.,FINAL,AKUN004534,2026-03-29 21:11:47,2026-03-29 21:11:47
PJL000126,UMK000841,2024-06-23,SALE-2024-00000126,568500,254500,3,Data penjualan masuk dari pencatatan operasional UMKM.,FINAL,AKUN001091,2024-06-24 11:17:51,2024-06-24 11:17:51
PJL000127,UMK003544,2025-11-26,SALE-2025-00000127,1293000,580600,3,Penjualan harian dari kanal offline dan/atau online.,DRAFT,AKUN003794,2025-11-26 15:06:52,2025-11-26 18:20:52
PJL000128,UMK002411,2024-01-21,SALE-2024-00000128,133500,36300,1,Transaksi final dari rekap UMKM.,FINAL,AKUN002661,2024-01-22 02:01:47,2024-01-22 02:01:47
PJL000129,UMK004427,2025-07-23,SALE-2025-00000129,806000,338400,4,Penjualan harian dari kanal offline dan/atau online.,FINAL,AKUN004677,2025-07-24 01:50:09,2025-07-24 01:50:09
PJL000130,UMK002595,2024-05-12,SALE-2024-00000130,295500,98000,3,Penjualan produk utama dan produk pendukung.,FINAL,AKUN002845,2024-05-12 18:55:17,2024-05-12 18:55:17
PJL000131,UMK002970,2025-05-27,SALE-2025-00000131,376000,187600,1,Rekap transaksi penjualan untuk analisis omzet.,FINAL,AKUN003220,2025-05-28 09:17:10,2025-05-28 09:17:10
PJL000132,UMK002968,2025-03-29,SALE-2025-00000132,345500,117500,1,Data penjualan masuk dari pencatatan operasional UMKM.,FINAL,AKUN003218,2025-03-29 05:33:52,2025-03-29 05:33:52
PJL000133,UMK000808,2025-11-02,SALE-2025-00000133,459500,226900,1,Data penjualan masuk dari pencatatan operasional UMKM.,FINAL,AKUN001058,2025-11-02 18:56:34,2025-11-02 18:56:34
PJL000134,UMK001409,2024-07-08,SALE-2024-00000134,140000,47600,4,Transaksi final dari rekap UMKM.,FINAL,AKUN001659,2024-07-08 20:59:33,2024-07-08 20:59:33
PJL000135,UMK001427,2024-03-23,SALE-2024-00000135,3518000,1816000,2,Rekap transaksi penjualan untuk analisis omzet.,CANCELLED,AKUN001677,2024-03-23 23:40:30,2024-03-24 00:17:30
PJL000136,UMK003869,2025-03-18,SALE-2025-00000136,274000,110600,1,Penjualan produk utama dan produk pendukung.,FINAL,AKUN004119,2025-03-19 16:29:57,2025-03-19 16:29:57
PJL000137,UMK000966,2024-10-07,SALE-2024-00000137,172000,61900,1,Penjualan produk utama dan produk pendukung.,FINAL,AKUN001216,2024-10-07 23:00:31,2024-10-07 23:00:31
PJL000138,UMK003796,2024-05-09,SALE-2024-00000138,879000,300000,6,Penjualan produk utama dan produk pendukung.,FINAL,AKUN004046,2024-05-09 16:53:01,2024-05-09 16:53:01
PJL000139,UMK002213,2024-03-11,SALE-2024-00000139,33500,7000,1,Transaksi final dari rekap UMKM.,FINAL,AKUN002463,2024-03-12 00:53:14,2024-03-12 00:53:14
PJL000140,UMK004819,2024-03-26,SALE-2024-00000140,615500,113500,1,Transaksi final dari rekap UMKM.,FINAL,AKUN005069,2024-03-26 21:29:40,2024-03-26 21:29:40
PJL000141,UMK000343,2025-11-28,SALE-2025-00000141,277500,143800,5,Transaksi final dari rekap UMKM.,FINAL,AKUN000593,2025-11-29 02:51:46,2025-11-29 02:51:46
PJL000142,UMK004127,2024-12-17,SALE-2024-00000142,127500,50200,5,Transaksi final dari rekap UMKM.,FINAL,AKUN004377,2024-12-17 22:47:42,2024-12-17 22:47:42
