penjualan_item_id,penjualan_id,produk_id,nama_produk_snapshot,harga_satuan_snapshot,jumlah,created_at
PJI000057,PJL000057,PRD016589,Tempat Tisu Kayu,215000,4,2025-12-20 05:06:20
PJI000058,PJL000058,PRD015625,Roti Pisang,46000,7,2025-11-17 07:08:24
PJI000059,PJL000059,PRD012524,Lumpia Frozen,125500,1,2025-12-01 05:46:58
PJI000060,PJL000060,PRD009124,Desain Label Produk,1147500,1,2025-11-12 12:59:45
PJI000061,PJL000061,PRD003426,Brownies Kukus,98500,6,2024-12-08 06:37:09
PJI000062,PJL000062,PRD010222,Jasa Optimasi Google Business,2184000,1,2025-04-24 03:51:20
PJI000063,PJL000063,PRD006226,Bakpia Mini,58500,4,2026-01-12 23:59:23
PJI000064,PJL000064,PRD004034,Lumpia Frozen,213000,3,2026-04-10 20:00:50
PJI000065,PJL000065,PRD014546,Anyaman Bambu,262500,3,2025-02-05 06:43:21
PJI000066,PJL000066,PRD005152,Snack Mix,132500,2,2025-03-08 04:25:35
PJI000067,PJL000067,PRD016452,Masker Wajah,142500,1,2024-12-24 06:57:15
PJI000068,PJL000068,PRD015808,Kursus Privat,903000,2,2025-02-13 15:04:53
PJI000069,PJL000069,PRD008442,Lip Balm Natural,66000,5,2025-03-09 09:49:23
PJI000070,PJL000070,PRD016287,Kemeja Batik,624000,2,2024-02-04 22:41:34
PJI000071,PJL000071,PRD001290,Pastel Frozen,129000,4,2025-07-28 07:52:23
PJI000072,PJL000072,PRD005401,Dimsum Ayam,147000,3,2026-04-15 15:17:37
PJI000073,PJL000073,PRD003148,Jasa Optimasi Google Business,2734500,2,2026-01-26 07:48:43
PJI000074,PJL000074,PRD019063,Lip Balm Natural,252500,1,2025-08-12 16:06:17
PJI000075,PJL000075,PRD005192,Jasa Desain Logo,832500,2,2024-12-11 02:04:33
PJI000076,PJL000076,PRD007328,Shampoo Herbal,154500,2,2026-04-30 02:24:02
PJI000077,PJL000077,PRD010308,Konsultasi UMKM,1027000,1,2024-02-14 10:07:47
PJI000078,PJL000078,PRD011166,Paket Foto Katalog,2799000,1,2024-10-20 00:29:29
PJI000079,PJL000079,PRD003537,Brownies Kukus,63500,5,2025-07-12 10:09:59
PJI000080,PJL000080,PRD013462,Kerajinan Kayu,332000,1,2024-08-17 12:09:51
PJI000081,PJL000081,PRD016197,Pouch Batik,375000,3,2026-02-12 21:27:26
PJI000082,PJL000082,PRD013675,Seragam Komunitas,292000,2,2024-09-05 17:05:47
PJI000083,PJL000083,PRD018620,Body Scrub,89000,5,2025-01-04 20:01:56
PJI000084,PJL000084,PRD016458,Kursus Privat,620000,2,2024-11-04 00:09:00
PJI000085,PJL000085,PRD014488,Aneka ATK,449000,2,2025-01-23 12:54:51
PJI000086,PJL000086,PRD004519,Lip Balm Natural,155500,1,2025-02-18 01:36:44
PJI000087,PJL000087,PRD008729,Dress Casual,121000,2,2025-10-11 15:48:47
PJI000088,PJL000088,PRD011884,Aneka ATK,18000,7,2025-04-28 13:45:12
PJI000089,PJL000089,PRD001075,Jasa Jahit Permak,981500,2,2025-01-01 14:58:31
PJI000090,PJL000090,PRD014638,Totebag Kanvas,202500,4,2026-04-30 01:38:09
PJI000091,PJL000091,PRD007455,Brownies Kukus,78500,4,2024-12-31 11:02:17
PJI000092,PJL000092,PRD007440,Kemeja Batik,221000,1,2026-03-09 01:27:12
PJI000093,PJL000093,PRD006906,Katalog Interaktif,1902000,1,2024-10-10 17:19:41
PJI000094,PJL000094,PRD015720,Pouch Batik,116000,3,2025-10-05 00:12:13
PJI000095,PJL000095,PRD009958,Peyek Kacang,16500,11,2024-09-09 22:57:32
PJI000096,PJL000096,PRD000311,Kacang Bawang,124000,4,2026-02-22 13:41:27
PJI000097,PJL000097,PRD019537,Face Mist Mawar,185000,4,2024-07-04 18:28:58
PJI000098,PJL000098,PRD014846,Produk Rajut,35500,2,2024-09-06 18:39:59
PJI000099,PJL000099,PRD007247,Template Invoice Digital,232000,3,2025-08-21 13:46:52
PJI000100,PJL000100,PRD002445,Pastel Frozen,35500,1,2024-11-10 07:07:14
PJI000101,PJL000101,PRD018511,Peyek Kacang,74500,6,2024-06-04 15:00:01
PJI000102,PJL000102,PRD004900,Perlengkapan Rumah,84000,2,2024-10-09 09:47:49
PJI000103,PJL000103,PRD008196,Kopi Susu Botol,109000,1,2025-08-25 01:46:12
PJI000104,PJL000104,PRD016312,Perlengkapan Rumah,575000,1,2024-01-29 02:08:42
PJI000105,PJL000105,PRD017606,Miniatur Wayang,28500,3,2025-09-02 16:14:30
PJI000106,PJL000106,PRD017458,Nasi Box,59500,2,2024-08-11 13:24:57
PJI000107,PJL000107,PRD013835,Jasa Desain Logo,267000,4,2025-06-02 14:29:48
PJI000108,PJL000108,PRD016746,Kopi Susu Botol,29000,2,2025-02-12 01:00:46
PJI000109,PJL000109,PRD018823,Kopi Susu Botol,92000,1,2025-04-29 23:33:59
PJI000110,PJL000110,PRD016582,Serum Herbal,42500,9,2025-09-24 12:38:18
PJI000111,PJL000111,PRD000351,Hijab Motif,291000,4,2025-02-19 21:58:16
PJI000112,PJL000112,PRD008120,Keripik Singkong,111500,4,2025-11-12 18:16:31
PJI000113,PJL000113,PRD007184,Jasa Optimasi Google Business,1982000,2,2024-08-18 02:57:29
PJI000114,PJL000114,PRD010045,Anyaman Bambu,442000,1,2026-02-03 07:10:06
PJI000115,PJL000115,PRD008608,Jasa Kelola Instagram,1491500,2,2025-01-04 07:31:32
PJI000116,PJL000116,PRD018944,Souvenir Pernikahan,158000,4,2025-06-02 21:56:54
PJI000117,PJL000117,PRD004071,Tas Rajut,108000,2,2026-01-23 19:27:58
PJI000118,PJL000118,PRD002622,Peralatan Dapur,496000,1,2024-05-16 04:17:24
PJI000119,PJL000119,PRD016389,Blouse Batik,164000,4,2024-03-10 05:42:04
PJI000120,PJL000120,PRD015108,Rengginang Gurih,56500,6,2024-06-03 13:07:25
PJI000121,PJL000121,PRD014945,Keripik Pisang,281000,4,2026-05-23 06:17:23
PJI000122,PJL000122,PRD004645,Hair Tonic Herbal,37500,4,2025-11-28 23:32:07
PJI000123,PJL000123,PRD009801,Pempek Frozen,80500,7,2025-07-19 08:10:30
PJI000124,PJL000124,PRD001261,Jahe Merah Instan,212500,4,2025-05-15 18:25:42
PJI000125,PJL000125,PRD017091,Kemeja Linen,346500,4,2026-03-30 04:12:47
PJI000126,PJL000126,PRD003264,Telur Asin,189500,3,2024-06-24 08:21:51
PJI000127,PJL000127,PRD014149,Totebag Kanvas,431000,3,2025-11-26 13:07:52
PJI000128,PJL000128,PRD009644,Kacang Bawang,133500,1,2024-01-21 20:10:47
PJI000129,PJL000129,PRD017660,Paket Hampers,201500,4,2025-07-24 08:53:09
PJI000130,PJL000130,PRD010385,Kemeja Batik,98500,3,2024-05-12 20:40:17
PJI000131,PJL000131,PRD011881,Perlengkapan Warung,376000,1,2025-05-27 18:11:10
PJI000132,PJL000132,PRD011872,Peralatan Dapur,345500,1,2025-03-29 07:36:52
PJI000133,PJL000133,PRD003128,Produk Konsinyasi Lokal,459500,1,2025-11-02 12:13:34
PJI000134,PJL000134,PRD005563,Kacang Bawang,35000,4,2024-07-08 07:01:33
PJI000135,PJL000135,PRD005643,Landing Page UMKM,1759000,2,2024-03-23 17:06:30
PJI000136,PJL000136,PRD015418,Kotak Hampers,274000,1,2025-03-19 14:58:57
PJI000137,PJL000137,PRD003747,Jasa Desain Logo,172000,1,2024-10-07 19:50:31
PJI000138,PJL000138,PRD015155,Sabun Herbal,146500,6,2024-05-09 16:53:01
PJI000139,PJL000139,PRD008835,Pastel Frozen,33500,1,2024-03-12 01:30:14
PJI000140,PJL000140,PRD019232,Produk Konsinyasi Lokal,615500,1,2024-03-27 04:33:40
PJI000141,PJL000141,PRD001288,Sirup Jahe,55500,5,2025-11-29 02:21:46
PJI000142,PJL000142,PRD016473,Jahe Merah Instan,25500,5,2024-12-18 02:24:42
PJI000143,PJL000143,PRD004400,Anyaman Bambu,282500,1,2026-05-19 21:08:04
PJI000144,PJL000144,PRD008403,Lumpia Frozen,110500,2,2024-11-18 07:01:49
PJI000145,PJL000145,PRD013340,Peyek Kacang,49500,4,2025-04-18 06:29:06
PJI000146,PJL000146,PRD002812,Aromaterapi,119500,1,2024-03-02 11:29:42
PJI000147,PJL000147,PRD013118,Serundeng Kelapa,24000,12,2024-12-24 05:28:31
PJI000148,PJL000148,PRD007981,Hampers UMKM,66500,3,2024-10-31 02:14:19
PJI000149,PJL000149,PRD013095,Pastel Frozen,39000,2,2024-10-02 22:36:12
PJI000150,PJL000150,PRD004328,Body Scrub,50000,4,2024-05-22 09:59:36
PJI000151,PJL000151,PRD004687,Sandal Kulit,188500,1,2025-04-28 12:16:44
PJI000152,PJL000152,PRD003015,Kacang Bawang,72000,3,2025-12-21 06:42:59
PJI000153,PJL000153,PRD010555,Miniatur Wayang,508000,2,2024-11-25 15:39:17
PJI000154,PJL000154,PRD001931,Sambal Bawang,114500,4,2026-01-15 19:52:17
PJI000155,PJL000155,PRD018210,Teh Herbal,172000,2,2025-01-15 09:47:29
PJI000156,PJL000156,PRD012843,Paket Catering Event,1258500,2,2026-05-05 15:22:45
PJI000157,PJL000157,PRD002987,Lumpia Frozen,13500,7,2025-12-26 00:53:05
PJI000158,PJL000158,PRD010045,Anyaman Bambu,442000,3,2025-05-08 17:12:53
PJI000159,PJL000159,PRD009965,Servis AC Rumahan,553500,2,2025-01-16 08:26:51
PJI000160,PJL000160,PRD016582,Serum Herbal,42500,5,2024-02-04 01:59:14
PJI000161,PJL000161,PRD007821,Blouse Batik,295000,2,2025-01-19 02:45:21
PJI000162,PJL000162,PRD016907,Landing Page UMKM,1506000,1,2025-03-13 05:51:02
PJI000163,PJL000163,PRD019416,Vas Anyaman,103000,2,2025-08-16 08:06:54
PJI000164,PJL000164,PRD013406,Konsultasi Pembukuan,489500,4,2026-05-30 04:21:10
PJI000165,PJL000165,PRD012274,Totebag Kanvas,232500,4,2025-12-04 22:05:29
PJI000166,PJL000166,PRD004309,Tas Ecoprint,386000,1,2024-12-26 22:39:21
PJI000167,PJL000167,PRD010672,Balm Aromaterapi,197500,4,2024-09-21 12:01:12
PJI000168,PJL000168,PRD004410,Kerajinan Kayu,369500,2,2024-10-30 13:38:51
PJI000169,PJL000169,PRD009423,Kopi Susu Botol,29500,18,2025-12-08 00:07:44
PJI000170,PJL000170,PRD011608,Serundeng Kelapa,42000,5,2024-06-08 02:14:34
PJI000171,PJL000171,PRD013084,Beras Organik,15000,1,2026-04-09 09:27:45
PJI000172,PJL000172,PRD008909,Sari Lemon,63500,2,2025-07-11 03:22:40
PJI000173,PJL000173,PRD001912,Sayur Hidroponik,44500,1,2026-01-29 12:03:32
PJI000174,PJL000174,PRD000272,Roti Pisang,120500,3,2024-10-11 14:36:05
PJI000175,PJL000175,PRD007076,Paket Foto Produk,484000,2,2026-03-17 11:38:25
PJI000176,PJL000176,PRD000598,Paket Catering Event,661000,2,2025-05-09 12:22:03
PJI000177,PJL000177,PRD014590,Produk Reseller,810500,2,2024-09-01 03:03:16
PJI000178,PJL000178,PRD007540,Wedang Uwuh,97500,5,2025-06-07 05:58:40
PJI000179,PJL000179,PRD013202,Rengginang Gurih,140000,1,2025-10-30 23:11:45
PJI000180,PJL000180,PRD001194,Kerajinan Kayu,322000,4,2025-05-13 04:37:02
PJI000181,PJL000181,PRD017383,Sabun Herbal,83500,1,2025-06-30 12:51:00
PJI000182,PJL000182,PRD000966,Macrame Wall Hanging,57500,7,2025-01-01 15:24:24
PJI000183,PJL000183,PRD018366,Tas Rajut,41000,2,2026-02-08 02:33:26
PJI000184,PJL000184,PRD003453,Sandal Kulit,289500,3,2024-08-18 19:41:46
PJI000185,PJL000185,PRD001642,Produk Rajut,718500,1,2026-03-23 09:28:03
PJI000186,PJL000186,PRD003497,Dekorasi Rumah,550000,1,2024-10-22 04:41:10
PJI000187,PJL000187,PRD008966,Keripik Singkong,79500,3,2025-06-06 11:42:23
PJI000188,PJL000188,PRD011685,Frame Foto Kayu,527000,2,2024-06-22 07:22:37
PJI000189,PJL000189,PRD003456,Produk Rajut,389500,2,2026-03-20 22:16:25
PJI000190,PJL000190,PRD013722,Sirup Jahe,103500,1,2024-12-31 21:01:01
PJI000191,PJL000191,PRD004275,Wedang Uwuh,81500,6,2024-06-24 16:38:02
PJI000192,PJL000192,PRD000882,Mukena Travel,48000,6,2024-12-12 15:25:31
PJI000193,PJL000193,PRD001358,Anyaman Bambu,583000,1,2024-09-22 08:28:56
PJI000194,PJL000194,PRD015023,Aksesori HP,439500,4,2026-01-15 19:37:42
PJI000195,PJL000195,PRD018753,Teh Herbal,221000,4,2025-09-04 08:25:00
PJI000196,PJL000196,PRD006608,Paket Sembako,466500,1,2024-03-15 13:00:35
PJI000197,PJL000197,PRD005615,Outer Tenun,268000,1,2026-03-23 18:08:49
PJI000198,PJL000198,PRD010828,Rengginang Gurih,132000,3,2024-11-23 01:08:44
PJI000199,PJL000199,PRD007776,Aneka Donat,69000,5,2025-01-05 08:33:24
PJI000200,PJL000200,PRD005345,Sirup Jahe,116500,1,2024-01-24 04:41:39
PJI000201,PJL000201,PRD008887,Paket Foto Produk,945500,6,2025-12-21 04:40:01
PJI000202,PJL000202,PRD019893,Katalog Interaktif,330000,1,2024-04-08 04:15:02
PJI000203,PJL000203,PRD010891,Konsultasi UMKM,272500,2,2026-05-23 11:53:15
PJI000204,PJL000204,PRD006967,Tempat Tisu Kayu,337000,2,2024-12-31 20:04:58
PJI000205,PJL000205,PRD019374,Kacang Bawang,64000,1,2025-08-23 04:18:53
PJI000206,PJL000206,PRD011664,Hampers UMKM,449000,1,2025-06-21 08:38:10
PJI000207,PJL000207,PRD004300,Scarf Motif,475500,4,2026-04-13 16:27:52
PJI000208,PJL000208,PRD016625,Produk Reseller,600000,2,2024-11-27 22:40:53
PJI000209,PJL000209,PRD003385,Jasa Admin Marketplace,396500,3,2025-09-18 10:13:49
PJI000210,PJL000210,PRD007494,Susu Kambing Bubuk,200500,2,2025-01-07 14:56:39
PJI000211,PJL000211,PRD003412,Desain Label Produk,32500,4,2025-03-20 22:11:11
PJI000212,PJL000212,PRD003027,Kopi Robusta,74000,2,2025-04-30 05:46:37
PJI000213,PJL000213,PRD017199,Pupuk Organik,182500,2,2024-06-07 12:02:56
PJI000214,PJL000214,PRD008976,Anyaman Bambu,705000,1,2025-11-09 05:57:36
PJI000215,PJL000215,PRD012990,Beras Organik,79500,7,2025-06-10 11:37:12
PJI000216,PJL000216,PRD012305,Souvenir Pernikahan,295000,4,2024-08-17 18:00:01
PJI000217,PJL000217,PRD005607,Jasa Reparasi Tas,1459000,1,2025-03-18 00:01:58
PJI000218,PJL000218,PRD002888,Landing Page UMKM,979500,1,2025-03-29 14:47:10
PJI000219,PJL000219,PRD012946,Susu Kambing Bubuk,161000,2,2024-04-21 18:25:10
PJI000220,PJL000220,PRD015356,Dompet Kulit,106000,2,2024-08-21 20:42:04
PJI000221,PJL000221,PRD014142,Kemeja Linen,372000,3,2025-03-30 16:05:41
PJI000222,PJL000222,PRD000733,Macrame Wall Hanging,307500,4,2025-08-01 17:03:42
PJI000223,PJL000223,PRD006482,Tas Rajut,101000,3,2026-05-30 04:39:24
PJI000224,PJL000224,PRD009185,Telur Asin,14500,10,2025-03-04 02:17:01
PJI000225,PJL000225,PRD000623,Face Mist Mawar,172000,2,2025-12-25 05:36:57
PJI000226,PJL000226,PRD002088,Peralatan Dapur,269000,2,2025-01-30 23:19:00
PJI000227,PJL000227,PRD013110,Frame Foto Kayu,922000,2,2026-02-20 23:34:48
PJI000228,PJL000228,PRD015470,Laundry Kiloan,1480000,2,2025-04-20 07:14:35
PJI000229,PJL000229,PRD001236,Minyak Rambut,71000,2,2025-11-02 13:53:54
PJI000230,PJL000230,PRD015990,Rengginang Gurih,53000,7,2025-12-30 12:04:56
PJI000231,PJL000231,PRD000798,Pempek Frozen,83000,3,2025-09-04 10:07:29
PJI000232,PJL000232,PRD019574,Kotak Hampers,580500,1,2025-01-15 03:12:45
PJI000233,PJL000233,PRD002080,Lumpia Frozen,97500,2,2026-02-03 11:45:56
PJI000234,PJL000234,PRD004396,Batik Tulis,178000,4,2024-02-09 02:15:30
PJI000235,PJL000235,PRD017168,Bundling Produk Rumah Tangga,476500,2,2025-11-27 06:59:01
PJI000236,PJL000236,PRD007800,Kopi Robusta,96000,6,2024-03-23 17:59:56
PJI000237,PJL000237,PRD012140,Sambal Cabai Kering,315000,1,2025-03-13 13:15:42
PJI000238,PJL000238,PRD018311,Serum Herbal,30000,4,2025-01-27 02:22:59
PJI000239,PJL000239,PRD014982,Bundling Produk Rumah Tangga,497000,1,2025-07-10 14:05:54
PJI000240,PJL000240,PRD006834,Paket Dokumentasi Produk,517500,2,2024-09-03 01:16:22
PJI000241,PJL000241,PRD017401,Krupuk Ikan,172500,4,2024-03-06 11:13:06
PJI000242,PJL000242,PRD015968,Peyek Kacang,102000,1,2025-06-10 17:01:09
PJI000243,PJL000243,PRD016725,Abon Sapi,110500,1,2024-05-19 18:48:16
PJI000244,PJL000244,PRD016297,Pempek Frozen,133000,1,2024-02-15 11:56:37
PJI000245,PJL000245,PRD016104,Paket Hampers,136500,2,2025-12-16 04:42:11
PJI000246,PJL000246,PRD012452,Template Invoice Digital,967500,2,2025-07-13 04:51:25
PJI000247,PJL000247,PRD002268,Face Mist Mawar,116000,3,2024-11-13 19:02:18
PJI000248,PJL000248,PRD010447,Produk Rajut,109500,1,2026-02-03 19:58:59
PJI000249,PJL000249,PRD019386,Pempek Frozen,105500,4,2024-10-29 06:47:48
PJI000250,PJL000250,PRD015332,Batik Tulis,238000,1,2024-08-04 20:47:21
PJI000251,PJL000251,PRD002823,Produk Konsinyasi Lokal,297500,2,2024-07-23 10:59:38
PJI000252,PJL000252,PRD007506,Sirup Jahe,57500,1,2024-12-12 00:45:26
PJI000253,PJL000253,PRD001326,Desain Label Produk,767500,1,2024-03-24 12:56:43
PJI000254,PJL000254,PRD017402,Jasa Cleaning,275000,4,2024-04-10 01:57:15
PJI000255,PJL000255,PRD016074,Lumpia Frozen,106000,4,2026-03-04 20:37:29
PJI000256,PJL000256,PRD002239,Hair Tonic Herbal,131000,3,2024-04-17 15:20:06
PJI000257,PJL000257,PRD005670,Jamur Tiram,143000,2,2025-09-13 13:29:46
PJI000258,PJL000258,PRD013143,Snack Mix,132500,2,2025-01-19 10:28:57
PJI000259,PJL000259,PRD016529,Kursus Privat,759500,2,2025-03-07 04:06:58
PJI000260,PJL000260,PRD013263,Tas Ecoprint,181500,3,2024-05-16 11:36:08
PJI000261,PJL000261,PRD012685,Pastel Frozen,21000,1,2025-01-04 12:10:18
PJI000262,PJL000262,PRD009932,Video Promosi,1458500,1,2024-04-09 20:00:57
PJI000263,PJL000263,PRD009343,Nasi Box,11000,8,2025-05-06 23:33:13
PJI000264,PJL000264,PRD018246,Laundry Kiloan,377000,5,2024-04-25 22:06:38
PJI000265,PJL000265,PRD012156,Pastel Frozen,102500,2,2025-07-16 23:56:06
PJI000266,PJL000266,PRD000255,Madu Hutan,23500,2,2025-03-24 20:26:48
PJI000267,PJL000267,PRD000433,Video Promosi,1006500,2,2024-05-30 11:20:57
PJI000268,PJL000268,PRD017761,Jasa Admin Marketplace,945500,1,2026-05-16 03:26:32
PJI000269,PJL000269,PRD004641,Krupuk Ikan,20000,1,2026-02-12 13:32:56
PJI000270,PJL000270,PRD012553,Anyaman Bambu,74000,6,2024-09-08 17:23:55
PJI000271,PJL000271,PRD002167,Balm Aromaterapi,85500,2,2024-06-01 08:59:50
PJI000272,PJL000272,PRD014111,Desain Feed,3528000,2,2026-02-05 09:16:15
PJI000273,PJL000273,PRD008625,Kemeja Batik,190500,3,2024-02-29 06:39:18
PJI000274,PJL000274,PRD003572,Paket Hampers,489500,3,2024-09-04 11:47:02
PJI000275,PJL000275,PRD017492,Frozen Food,35000,2,2024-11-07 22:08:12
PJI000276,PJL000276,PRD017649,Laundry Kiloan,687000,2,2024-05-17 09:13:13
PJI000277,PJL000277,PRD003015,Kacang Bawang,72000,1,2025-08-09 11:28:12
PJI000278,PJL000278,PRD013343,Abon Sapi,70500,21,2024-11-15 21:06:45
PJI000279,PJL000279,PRD007931,Sandal Kulit,288000,4,2025-12-26 16:08:30
PJI000280,PJL000280,PRD003765,Lumpia Frozen,55000,2,2025-08-05 08:18:08
PJI000281,PJL000281,PRD005151,Pastel Frozen,103000,1,2025-08-06 23:09:58
PJI000282,PJL000282,PRD007600,Bundling Produk Rumah Tangga,159000,2,2024-01-26 00:47:13
PJI000283,PJL000283,PRD011908,Desain Label Produk,292500,4,2024-05-08 20:20:08
PJI000284,PJL000284,PRD013496,Frame Foto Kayu,290500,3,2024-11-11 08:26:48
PJI000285,PJL000285,PRD009073,Paket Foto Produk,455000,4,2024-03-02 02:59:24
PJI000286,PJL000286,PRD015743,Dompet Kulit,156500,1,2025-12-04 17:13:32
PJI000287,PJL000287,PRD004553,Video Promosi,719000,2,2024-03-08 21:29:12
PJI000288,PJL000288,PRD009724,Aksesori HP,804500,1,2026-02-04 22:36:52
PJI000289,PJL000289,PRD011094,Anyaman Bambu,228500,1,2024-06-05 08:45:08
PJI000290,PJL000290,PRD001960,Hampers UMKM,272500,3,2025-04-10 00:51:53
PJI000291,PJL000291,PRD003972,Beras Organik,146500,1,2025-02-10 00:29:56
PJI000292,PJL000292,PRD001891,Perlengkapan Rumah,641000,1,2024-04-18 03:28:26
PJI000293,PJL000293,PRD013003,Sayur Hidroponik,121000,1,2026-03-06 03:39:07
PJI000294,PJL000294,PRD006273,Produk Konsinyasi Lokal,364000,2,2025-11-16 19:42:51
PJI000295,PJL000295,PRD006373,Hair Tonic Herbal,109000,4,2026-02-25 19:05:23
PJI000296,PJL000296,PRD003888,Balm Aromaterapi,138000,3,2024-12-07 09:34:36
PJI000297,PJL000297,PRD008536,Tas Rajut,78500,4,2024-04-23 21:53:40
PJI000298,PJL000298,PRD008279,Servis AC Rumahan,65000,3,2025-03-04 20:05:00
PJI000299,PJL000299,PRD015645,Body Scrub,132000,1,2024-01-28 13:08:28
PJI000300,PJL000300,PRD015984,Template Invoice Digital,160000,2,2025-01-08 14:24:53
PJI000301,PJL000301,PRD007747,Jasa Optimasi Google Business,2225000,2,2025-08-05 03:48:55
PJI000302,PJL000302,PRD016605,Macrame Wall Hanging,78000,1,2025-04-05 03:14:38
PJI000303,PJL000303,PRD013264,Kerajinan Kayu,456500,1,2024-07-21 08:25:24
