pendaftaran_pelatihan_id,status_sertifikat_id,dokumen_id,nomor_sertifikat,tanggal_pengajuan,tanggal_terbit,diverifikasi_oleh_admin_id,catatan_validasi
PDF000027,TERBIT,DOK009527,SERT/UMKMT/2026/00000027,2026-03-14 07:35:39,2026-03-15 07:35:39,ADM000165,Sertifikat telah diterbitkan secara digital.
PDF000028,BELUM_TERBIT,,,,,,Peserta belum memenuhi seluruh syarat penerbitan sertifikat.
PDF000029,TERBIT,DOK009529,SERT/UMKMT/2026/00000029,2025-08-16 14:25:49,2025-08-29 14:25:49,ADM000207,Sertifikat telah diterbitkan secara digital.
PDF000030,DITOLAK,,,2025-03-01 08:39:04,,ADM000167,Tugas proyek belum diterima.
PDF000031,BELUM_TERBIT,,,,,,Peserta belum memenuhi seluruh syarat penerbitan sertifikat.
PDF000032,DIAJUKAN,,,2025-05-18 10:08:10,,,Sertifikat sedang diajukan untuk verifikasi admin.
PDF000033,BELUM_TERBIT,,,,,,Peserta belum memenuhi seluruh syarat penerbitan sertifikat.
PDF000034,DIAJUKAN,,,2024-09-14 16:34:15,,,Sertifikat sedang diajukan untuk verifikasi admin.
PDF000035,DIBATALKAN,,,2025-02-20 00:14:22,,ADM000164,Pengajuan sertifikat dibatalkan oleh sistem atau admin.
PDF000036,BELUM_TERBIT,,,,,,Peserta belum memenuhi seluruh syarat penerbitan sertifikat.
PDF000037,TERBIT,DOK009537,SERT/UMKMT/2026/00000037,2025-10-10 01:46:59,2025-10-18 01:46:59,ADM000009,Sertifikat telah diterbitkan secara digital.
PDF000038,TERBIT,DOK009538,SERT/UMKMT/2026/00000038,2024-02-26 21:58:05,2024-02-27 21:58:05,ADM000110,Sertifikat telah diterbitkan secara digital.
PDF000039,TERBIT,DOK009539,SERT/UMKMT/2026/00000039,2024-03-12 01:04:12,2024-03-18 01:04:12,ADM000187,Sertifikat telah diterbitkan secara digital.
PDF000040,TERBIT,DOK009540,SERT/UMKMT/2026/00000040,2025-05-29 20:38:30,2025-05-31 20:38:30,ADM000204,Sertifikat telah diterbitkan secara digital.
PDF000041,BELUM_TERBIT,,,,,,Peserta belum memenuhi seluruh syarat penerbitan sertifikat.
PDF000042,BELUM_TERBIT,,,,,,Peserta belum memenuhi seluruh syarat penerbitan sertifikat.
PDF000043,BELUM_TERBIT,,,,,,Peserta belum memenuhi seluruh syarat penerbitan sertifikat.
PDF000044,BELUM_TERBIT,,,,,,Peserta belum memenuhi seluruh syarat penerbitan sertifikat.
PDF000045,TERBIT,DOK009545,SERT/UMKMT/2026/00000045,2025-05-27 23:12:53,2025-06-10 23:12:53,ADM000011,Sertifikat telah diterbitkan secara digital.
PDF000046,BELUM_TERBIT,,,,,,Peserta belum memenuhi seluruh syarat penerbitan sertifikat.
PDF000047,DIBATALKAN,,,2026-05-12 15:09:56,,ADM000142,Pengajuan sertifikat dibatalkan oleh sistem atau admin.
PDF000048,BELUM_TERBIT,,,,,,Peserta belum memenuhi seluruh syarat penerbitan sertifikat.
PDF000049,DITOLAK,,,2026-02-24 01:47:29,,ADM000034,Progress pelatihan belum mencapai syarat minimal.
PDF000050,TERBIT,DOK009550,SERT/UMKMT/2026/00000050,2025-11-11 03:44:57,2025-11-21 03:44:57,ADM000104,Sertifikat telah diterbitkan secara digital.
PDF000051,BELUM_TERBIT,,,,,,Peserta belum memenuhi seluruh syarat penerbitan sertifikat.
PDF000052,TERBIT,DOK009552,SERT/UMKMT/2026/00000052,2024-02-09 00:18:48,2024-02-16 00:18:48,ADM000159,Sertifikat telah diterbitkan secara digital.
PDF000053,TERBIT,DOK009553,SERT/UMKMT/2026/00000053,2025-06-08 08:42:26,2025-06-21 08:42:26,ADM000160,Sertifikat telah diterbitkan secara digital.
PDF000054,TERBIT,DOK009554,SERT/UMKMT/2026/00000054,2026-04-28 15:47:53,2026-04-29 15:47:53,ADM000194,Sertifikat telah diterbitkan secara digital.
PDF000055,TERBIT,DOK009555,SERT/UMKMT/2026/00000055,2025-10-25 00:56:15,2025-10-28 00:56:15,ADM000139,Sertifikat telah diterbitkan secara digital.
PDF000056,BELUM_TERBIT,,,,,,Peserta belum memenuhi seluruh syarat penerbitan sertifikat.
PDF000057,BELUM_TERBIT,,,,,,Peserta belum memenuhi seluruh syarat penerbitan sertifikat.
PDF000058,BELUM_TERBIT,,,,,,Peserta belum memenuhi seluruh syarat penerbitan sertifikat.
PDF000059,DIAJUKAN,,,2024-03-07 11:51:49,,,Sertifikat sedang diajukan untuk verifikasi admin.
PDF000060,BELUM_TERBIT,,,,,,Peserta belum memenuhi seluruh syarat penerbitan sertifikat.
PDF000061,BELUM_TERBIT,,,,,,Peserta belum memenuhi seluruh syarat penerbitan sertifikat.
PDF000062,BELUM_TERBIT,,,,,,Peserta belum memenuhi seluruh syarat penerbitan sertifikat.
PDF000063,TERBIT,DOK009563,SERT/UMKMT/2026/00000063,2025-12-18 23:38:13,2025-12-28 23:38:13,ADM000135,Sertifikat telah diterbitkan secara digital.
PDF000064,TERBIT,DOK009564,SERT/UMKMT/2026/00000064,2025-08-13 23:49:33,2025-08-27 23:49:33,ADM000144,Sertifikat telah diterbitkan secara digital.
PDF000065,DIAJUKAN,,,2025-07-30 20:54:11,,,Sertifikat sedang diajukan untuk verifikasi admin.
PDF000066,DIAJUKAN,,,2025-02-12 13:41:43,,,Sertifikat sedang diajukan untuk verifikasi admin.
PDF000067,TERBIT,DOK009567,SERT/UMKMT/2026/00000067,2024-12-07 01:01:22,2024-12-17 01:01:22,ADM000055,Sertifikat telah diterbitkan secara digital.
PDF000068,DITOLAK,,,2026-02-26 17:03:41,,ADM000036,Tugas proyek belum diterima.
PDF000069,BELUM_TERBIT,,,,,,Peserta belum memenuhi seluruh syarat penerbitan sertifikat.
PDF000070,BELUM_TERBIT,,,,,,Peserta belum memenuhi seluruh syarat penerbitan sertifikat.
PDF000071,TERBIT,DOK009571,SERT/UMKMT/2026/00000071,2024-08-19 22:20:19,2024-08-26 22:20:19,ADM000130,Sertifikat telah diterbitkan secara digital.
PDF000072,DIAJUKAN,,,2025-02-04 09:01:52,,,Sertifikat sedang diajukan untuk verifikasi admin.
PDF000073,TERBIT,DOK009573,SERT/UMKMT/2026/00000073,2026-02-05 01:49:47,2026-02-09 01:49:47,ADM000146,Sertifikat telah diterbitkan secara digital.
PDF000074,BELUM_TERBIT,,,,,,Peserta belum memenuhi seluruh syarat penerbitan sertifikat.
PDF000075,TERBIT,DOK009575,SERT/UMKMT/2026/00000075,2025-09-24 17:15:12,2025-09-30 17:15:12,ADM000032,Sertifikat telah diterbitkan secara digital.
PDF000076,DIAJUKAN,,,2025-05-10 12:34:20,,,Sertifikat sedang diajukan untuk verifikasi admin.
PDF000077,DIAJUKAN,,,2024-07-22 00:55:06,,,Sertifikat sedang diajukan untuk verifikasi admin.
PDF000078,TERBIT,DOK009578,SERT/UMKMT/2026/00000078,2025-02-10 04:37:33,2025-02-23 04:37:33,ADM000104,Sertifikat telah diterbitkan secara digital.
PDF000079,BELUM_TERBIT,,,,,,Peserta belum memenuhi seluruh syarat penerbitan sertifikat.
PDF000080,TERBIT,DOK009580,SERT/UMKMT/2026/00000080,2025-03-28 12:51:17,2025-03-30 12:51:17,ADM000231,Sertifikat telah diterbitkan secara digital.
PDF000081,BELUM_TERBIT,,,,,,Peserta belum memenuhi seluruh syarat penerbitan sertifikat.
PDF000082,TERBIT,DOK009582,SERT/UMKMT/2026/00000082,2025-03-17 04:35:28,2025-03-19 04:35:28,ADM000026,Sertifikat telah diterbitkan secara digital.
PDF000083,TERBIT,DOK009583,SERT/UMKMT/2026/00000083,2026-04-03 08:08:18,2026-04-11 08:08:18,ADM000064,Sertifikat telah diterbitkan secara digital.
PDF000084,DIAJUKAN,,,2026-05-21 16:42:10,,,Sertifikat sedang diajukan untuk verifikasi admin.
PDF000085,DIAJUKAN,,,2024-10-01 14:00:04,,,Sertifikat sedang diajukan untuk verifikasi admin.
PDF000086,TERBIT,DOK009586,SERT/UMKMT/2026/00000086,2026-03-27 06:37:25,2026-04-05 06:37:25,ADM000128,Sertifikat telah diterbitkan secara digital.
PDF000087,DIAJUKAN,,,2024-10-14 02:22:40,,,Sertifikat sedang diajukan untuk verifikasi admin.
PDF000088,TERBIT,DOK009588,SERT/UMKMT/2026/00000088,2025-10-07 06:45:59,2025-10-18 06:45:59,ADM000096,Sertifikat telah diterbitkan secara digital.
PDF000089,BELUM_TERBIT,,,,,,Peserta belum memenuhi seluruh syarat penerbitan sertifikat.
PDF000090,DIAJUKAN,,,2026-04-03 07:57:17,,,Sertifikat sedang diajukan untuk verifikasi admin.
PDF000091,DIAJUKAN,,,2024-05-30 00:02:04,,,Sertifikat sedang diajukan untuk verifikasi admin.
PDF000092,TERBIT,DOK009592,SERT/UMKMT/2026/00000092,2024-04-23 01:21:21,2024-04-29 01:21:21,ADM000116,Sertifikat telah diterbitkan secara digital.
PDF000093,DIAJUKAN,,,2025-10-01 12:57:59,,,Sertifikat sedang diajukan untuk verifikasi admin.
PDF000094,DIBATALKAN,,,2025-08-30 00:44:21,,ADM000158,Pengajuan sertifikat dibatalkan oleh sistem atau admin.
PDF000095,TERBIT,DOK009595,SERT/UMKMT/2026/00000095,2026-05-27 19:19:41,2026-05-28 19:19:41,ADM000057,Sertifikat telah diterbitkan secara digital.
PDF000096,DIAJUKAN,,,2024-07-04 14:18:20,,,Sertifikat sedang diajukan untuk verifikasi admin.
PDF000097,TERBIT,DOK009597,SERT/UMKMT/2026/00000097,2026-03-18 11:38:08,2026-03-26 11:38:08,ADM000238,Sertifikat telah diterbitkan secara digital.
PDF000098,TERBIT,DOK009598,SERT/UMKMT/2026/00000098,2024-04-15 00:26:16,2024-04-29 00:26:16,ADM000033,Sertifikat telah diterbitkan secara digital.
PDF000099,BELUM_TERBIT,,,,,,Peserta belum memenuhi seluruh syarat penerbitan sertifikat.
PDF000100,BELUM_TERBIT,,,,,,Peserta belum memenuhi seluruh syarat penerbitan sertifikat.
PDF000101,BELUM_TERBIT,,,,,,Peserta belum memenuhi seluruh syarat penerbitan sertifikat.
PDF000102,DITOLAK,,,2024-09-09 17:45:09,,ADM000083,Data peserta perlu diperbaiki.
PDF000103,DIAJUKAN,,,2024-12-30 16:33:40,,,Sertifikat sedang diajukan untuk verifikasi admin.
PDF000104,DIAJUKAN,,,2024-10-17 18:24:15,,,Sertifikat sedang diajukan untuk verifikasi admin.
PDF000105,TERBIT,DOK009605,SERT/UMKMT/2026/00000105,2025-09-16 12:31:41,2025-09-29 12:31:41,ADM000210,Sertifikat telah diterbitkan secara digital.
PDF000106,TERBIT,DOK009606,SERT/UMKMT/2026/00000106,2024-04-25 16:19:12,2024-05-08 16:19:12,ADM000119,Sertifikat telah diterbitkan secara digital.
PDF000107,TERBIT,DOK009607,SERT/UMKMT/2026/00000107,2025-09-22 11:01:34,2025-09-25 11:01:34,ADM000044,Sertifikat telah diterbitkan secara digital.
PDF000108,TERBIT,DOK009608,SERT/UMKMT/2026/00000108,2024-02-20 04:40:52,2024-02-22 04:40:52,ADM000211,Sertifikat telah diterbitkan secara digital.
PDF000109,TERBIT,DOK009609,SERT/UMKMT/2026/00000109,2024-04-28 18:23:32,2024-04-30 18:23:32,ADM000230,Sertifikat telah diterbitkan secara digital.
PDF000110,DITOLAK,,,2026-01-08 10:27:48,,ADM000223,Data peserta perlu diperbaiki.
PDF000111,BELUM_TERBIT,,,,,,Peserta belum memenuhi seluruh syarat penerbitan sertifikat.
PDF000112,BELUM_TERBIT,,,,,,Peserta belum memenuhi seluruh syarat penerbitan sertifikat.
PDF000113,BELUM_TERBIT,,,,,,Peserta belum memenuhi seluruh syarat penerbitan sertifikat.
PDF000114,TERBIT,DOK009614,SERT/UMKMT/2026/00000114,2025-05-20 19:29:42,2025-05-21 19:29:42,ADM000122,Sertifikat telah diterbitkan secara digital.
PDF000115,TERBIT,DOK009615,SERT/UMKMT/2026/00000115,2024-11-28 07:11:22,2024-12-03 07:11:22,ADM000166,Sertifikat telah diterbitkan secara digital.
PDF000116,BELUM_TERBIT,,,,,,Peserta belum memenuhi seluruh syarat penerbitan sertifikat.
PDF000117,TERBIT,DOK009617,SERT/UMKMT/2026/00000117,2025-08-30 22:55:36,2025-09-07 22:55:36,ADM000060,Sertifikat telah diterbitkan secara digital.
PDF000118,DIAJUKAN,,,2026-05-18 05:09:13,,,Sertifikat sedang diajukan untuk verifikasi admin.
PDF000119,DIAJUKAN,,,2025-03-25 17:27:37,,,Sertifikat sedang diajukan untuk verifikasi admin.
PDF000120,TERBIT,DOK009620,SERT/UMKMT/2026/00000120,2024-10-12 15:40:05,2024-10-24 15:40:05,ADM000221,Sertifikat telah diterbitkan secara digital.
PDF000121,TERBIT,DOK009621,SERT/UMKMT/2026/00000121,2024-09-06 17:48:20,2024-09-16 17:48:20,ADM000104,Sertifikat telah diterbitkan secara digital.
PDF000122,BELUM_TERBIT,,,,,,Peserta belum memenuhi seluruh syarat penerbitan sertifikat.
PDF000123,BELUM_TERBIT,,,,,,Peserta belum memenuhi seluruh syarat penerbitan sertifikat.
PDF000124,DIAJUKAN,,,2025-10-08 20:01:49,,,Sertifikat sedang diajukan untuk verifikasi admin.
PDF000125,TERBIT,DOK009625,SERT/UMKMT/2026/00000125,2024-09-09 09:49:34,2024-09-15 09:49:34,ADM000112,Sertifikat telah diterbitkan secara digital.
PDF000126,DITOLAK,,,2024-08-27 10:49:10,,ADM000197,Progress pelatihan belum mencapai syarat minimal.
PDF000127,TERBIT,DOK009627,SERT/UMKMT/2026/00000127,2026-01-13 10:24:46,2026-01-27 10:24:46,ADM000201,Sertifikat telah diterbitkan secara digital.
PDF000128,DIBATALKAN,,,2024-11-30 21:44:27,,ADM000043,Pengajuan sertifikat dibatalkan oleh sistem atau admin.
PDF000129,DIAJUKAN,,,2025-03-26 06:55:44,,,Sertifikat sedang diajukan untuk verifikasi admin.
PDF000130,DIAJUKAN,,,2025-08-25 02:54:24,,,Sertifikat sedang diajukan untuk verifikasi admin.
PDF000131,DIBATALKAN,,,2024-06-18 03:12:34,,ADM000224,Pengajuan sertifikat dibatalkan oleh sistem atau admin.
PDF000132,TERBIT,DOK009632,SERT/UMKMT/2026/00000132,2024-05-03 22:53:32,2024-05-16 22:53:32,ADM000059,Sertifikat telah diterbitkan secara digital.
PDF000133,BELUM_TERBIT,,,,,,Peserta belum memenuhi seluruh syarat penerbitan sertifikat.
PDF000134,TERBIT,DOK009634,SERT/UMKMT/2026/00000134,2024-08-14 14:00:36,2024-08-15 14:00:36,ADM000075,Sertifikat telah diterbitkan secara digital.
PDF000135,TERBIT,DOK009635,SERT/UMKMT/2026/00000135,2024-05-13 04:07:32,2024-05-20 04:07:32,ADM000143,Sertifikat telah diterbitkan secara digital.
PDF000136,BELUM_TERBIT,,,,,,Peserta belum memenuhi seluruh syarat penerbitan sertifikat.
PDF000137,TERBIT,DOK009637,SERT/UMKMT/2026/00000137,2024-02-16 11:20:37,2024-02-29 11:20:37,ADM000037,Sertifikat telah diterbitkan secara digital.
PDF000138,BELUM_TERBIT,,,,,,Peserta belum memenuhi seluruh syarat penerbitan sertifikat.
PDF000139,TERBIT,DOK009639,SERT/UMKMT/2026/00000139,2024-04-28 14:17:58,2024-05-04 14:17:58,ADM000109,Sertifikat telah diterbitkan secara digital.
PDF000140,TERBIT,DOK009640,SERT/UMKMT/2026/00000140,2025-01-05 16:36:48,2025-01-17 16:36:48,ADM000029,Sertifikat telah diterbitkan secara digital.
PDF000141,TERBIT,DOK009641,SERT/UMKMT/2026/00000141,2024-08-13 22:26:36,2024-08-20 22:26:36,ADM000237,Sertifikat telah diterbitkan secara digital.
PDF000142,TERBIT,DOK009642,SERT/UMKMT/2026/00000142,2024-09-30 12:59:49,2024-10-05 12:59:49,ADM000121,Sertifikat telah diterbitkan secara digital.
PDF000143,TERBIT,DOK009643,SERT/UMKMT/2026/00000143,2025-04-29 13:08:20,2025-05-09 13:08:20,ADM000011,Sertifikat telah diterbitkan secara digital.
PDF000144,BELUM_TERBIT,,,,,,Peserta belum memenuhi seluruh syarat penerbitan sertifikat.
PDF000145,BELUM_TERBIT,,,,,,Peserta belum memenuhi seluruh syarat penerbitan sertifikat.
PDF000146,BELUM_TERBIT,,,,,,Peserta belum memenuhi seluruh syarat penerbitan sertifikat.
PDF000147,TERBIT,DOK009647,SERT/UMKMT/2026/00000147,2024-11-29 16:15:59,2024-12-11 16:15:59,ADM000060,Sertifikat telah diterbitkan secara digital.
PDF000148,TERBIT,DOK009648,SERT/UMKMT/2026/00000148,2024-07-02 11:11:53,2024-07-10 11:11:53,ADM000041,Sertifikat telah diterbitkan secara digital.
PDF000149,TERBIT,DOK009649,SERT/UMKMT/2026/00000149,2025-12-30 10:47:04,2026-01-03 10:47:04,ADM000245,Sertifikat telah diterbitkan secara digital.
PDF000150,TERBIT,DOK009650,SERT/UMKMT/2026/00000150,2025-04-21 00:06:28,2025-05-02 00:06:28,ADM000133,Sertifikat telah diterbitkan secara digital.
PDF000151,BELUM_TERBIT,,,,,,Peserta belum memenuhi seluruh syarat penerbitan sertifikat.
PDF000152,DIAJUKAN,,,2025-12-10 06:24:00,,,Sertifikat sedang diajukan untuk verifikasi admin.
PDF000153,DIAJUKAN,,,2025-04-19 10:55:10,,,Sertifikat sedang diajukan untuk verifikasi admin.
PDF000154,BELUM_TERBIT,,,,,,Peserta belum memenuhi seluruh syarat penerbitan sertifikat.
PDF000155,TERBIT,DOK009655,SERT/UMKMT/2026/00000155,2024-09-23 07:02:54,2024-09-24 07:02:54,ADM000228,Sertifikat telah diterbitkan secara digital.
PDF000156,TERBIT,DOK009656,SERT/UMKMT/2026/00000156,2025-06-26 23:51:14,2025-07-08 23:51:14,ADM000208,Sertifikat telah diterbitkan secara digital.
PDF000157,BELUM_TERBIT,,,,,,Peserta belum memenuhi seluruh syarat penerbitan sertifikat.
PDF000158,DIAJUKAN,,,2024-03-11 05:38:58,,,Sertifikat sedang diajukan untuk verifikasi admin.
PDF000159,DIAJUKAN,,,2024-12-07 18:38:01,,,Sertifikat sedang diajukan untuk verifikasi admin.
PDF000160,TERBIT,DOK009660,SERT/UMKMT/2026/00000160,2025-11-08 02:21:06,2025-11-21 02:21:06,ADM000066,Sertifikat telah diterbitkan secara digital.
PDF000161,BELUM_TERBIT,,,,,,Peserta belum memenuhi seluruh syarat penerbitan sertifikat.
PDF000162,TERBIT,DOK009662,SERT/UMKMT/2026/00000162,2024-07-06 04:10:26,2024-07-20 04:10:26,ADM000228,Sertifikat telah diterbitkan secara digital.
PDF000163,TERBIT,DOK009663,SERT/UMKMT/2026/00000163,2025-08-28 11:41:48,2025-09-02 11:41:48,ADM000147,Sertifikat telah diterbitkan secara digital.
PDF000164,BELUM_TERBIT,,,,,,Peserta belum memenuhi seluruh syarat penerbitan sertifikat.
PDF000165,TERBIT,DOK009665,SERT/UMKMT/2026/00000165,2025-05-06 06:38:13,2025-05-13 06:38:13,ADM000022,Sertifikat telah diterbitkan secara digital.
PDF000166,DIAJUKAN,,,2026-01-09 06:22:20,,,Sertifikat sedang diajukan untuk verifikasi admin.
PDF000167,TERBIT,DOK009667,SERT/UMKMT/2026/00000167,2026-02-08 05:25:06,2026-02-22 05:25:06,ADM000153,Sertifikat telah diterbitkan secara digital.
PDF000168,TERBIT,DOK009668,SERT/UMKMT/2026/00000168,2024-01-29 16:45:22,2024-02-05 16:45:22,ADM000214,Sertifikat telah diterbitkan secara digital.
PDF000169,TERBIT,DOK009669,SERT/UMKMT/2026/00000169,2025-10-24 20:36:08,2025-10-26 20:36:08,ADM000069,Sertifikat telah diterbitkan secara digital.
PDF000170,TERBIT,DOK009670,SERT/UMKMT/2026/00000170,2024-09-19 15:01:52,2024-09-25 15:01:52,ADM000191,Sertifikat telah diterbitkan secara digital.
PDF000171,BELUM_TERBIT,,,,,,Peserta belum memenuhi seluruh syarat penerbitan sertifikat.
PDF000172,TERBIT,DOK009672,SERT/UMKMT/2026/00000172,2024-09-28 06:45:13,2024-10-02 06:45:13,ADM000230,Sertifikat telah diterbitkan secara digital.
PDF000173,TERBIT,DOK009673,SERT/UMKMT/2026/00000173,2025-12-31 02:57:38,2026-01-08 02:57:38,ADM000244,Sertifikat telah diterbitkan secara digital.
PDF000174,TERBIT,DOK009674,SERT/UMKMT/2026/00000174,2025-11-13 21:24:38,2025-11-19 21:24:38,ADM000060,Sertifikat telah diterbitkan secara digital.
PDF000175,BELUM_TERBIT,,,,,,Peserta belum memenuhi seluruh syarat penerbitan sertifikat.
PDF000176,DIAJUKAN,,,2025-05-02 02:11:30,,,Sertifikat sedang diajukan untuk verifikasi admin.
PDF000177,BELUM_TERBIT,,,,,,Peserta belum memenuhi seluruh syarat penerbitan sertifikat.
PDF000178,TERBIT,DOK009678,SERT/UMKMT/2026/00000178,2025-10-27 08:32:01,2025-11-10 08:32:01,ADM000210,Sertifikat telah diterbitkan secara digital.
PDF000179,DITOLAK,,,2025-01-07 11:47:14,,ADM000129,Tugas proyek belum diterima.
PDF000180,DIAJUKAN,,,2024-10-04 04:10:31,,,Sertifikat sedang diajukan untuk verifikasi admin.
PDF000181,BELUM_TERBIT,,,,,,Peserta belum memenuhi seluruh syarat penerbitan sertifikat.
PDF000182,TERBIT,DOK009682,SERT/UMKMT/2026/00000182,2026-04-14 06:11:25,2026-04-28 06:11:25,ADM000037,Sertifikat telah diterbitkan secara digital.
PDF000183,DIAJUKAN,,,2024-09-20 09:16:12,,,Sertifikat sedang diajukan untuk verifikasi admin.
PDF000184,TERBIT,DOK009684,SERT/UMKMT/2026/00000184,2024-03-29 08:54:20,2024-03-30 08:54:20,ADM000034,Sertifikat telah diterbitkan secara digital.
PDF000185,TERBIT,DOK009685,SERT/UMKMT/2026/00000185,2025-03-23 23:02:06,2025-04-01 23:02:06,ADM000045,Sertifikat telah diterbitkan secara digital.
PDF000186,TERBIT,DOK009686,SERT/UMKMT/2026/00000186,2025-03-13 20:33:28,2025-03-26 20:33:28,ADM000076,Sertifikat telah diterbitkan secara digital.
PDF000187,TERBIT,DOK009687,SERT/UMKMT/2026/00000187,2026-03-20 04:46:36,2026-03-21 04:46:36,ADM000188,Sertifikat telah diterbitkan secara digital.
PDF000188,BELUM_TERBIT,,,,,,Peserta belum memenuhi seluruh syarat penerbitan sertifikat.
PDF000189,DITOLAK,,,2026-01-06 09:47:33,,ADM000162,Tugas proyek belum diterima.
PDF000190,BELUM_TERBIT,,,,,,Peserta belum memenuhi seluruh syarat penerbitan sertifikat.
PDF000191,DIBATALKAN,,,2024-04-12 19:44:33,,ADM000105,Pengajuan sertifikat dibatalkan oleh sistem atau admin.
PDF000192,TERBIT,DOK009692,SERT/UMKMT/2026/00000192,2025-03-12 08:24:23,2025-03-25 08:24:23,ADM000191,Sertifikat telah diterbitkan secara digital.
PDF000193,DIAJUKAN,,,2024-12-13 12:28:58,,,Sertifikat sedang diajukan untuk verifikasi admin.
PDF000194,TERBIT,DOK009694,SERT/UMKMT/2026/00000194,2024-10-03 16:27:23,2024-10-14 16:27:23,ADM000195,Sertifikat telah diterbitkan secara digital.
PDF000195,TERBIT,DOK009695,SERT/UMKMT/2026/00000195,2025-04-07 04:15:46,2025-04-10 04:15:46,ADM000151,Sertifikat telah diterbitkan secara digital.
PDF000196,BELUM_TERBIT,,,,,,Peserta belum memenuhi seluruh syarat penerbitan sertifikat.
PDF000197,TERBIT,DOK009697,SERT/UMKMT/2026/00000197,2024-03-16 03:46:13,2024-03-28 03:46:13,ADM000203,Sertifikat telah diterbitkan secara digital.
PDF000198,TERBIT,DOK009698,SERT/UMKMT/2026/00000198,2025-05-16 04:59:17,2025-05-19 04:59:17,ADM000130,Sertifikat telah diterbitkan secara digital.
PDF000199,BELUM_TERBIT,,,,,,Peserta belum memenuhi seluruh syarat penerbitan sertifikat.
PDF000200,DIAJUKAN,,,2025-12-11 18:18:35,,,Sertifikat sedang diajukan untuk verifikasi admin.
PDF000201,TERBIT,DOK009701,SERT/UMKMT/2026/00000201,2024-09-16 01:09:31,2024-09-28 01:09:31,ADM000114,Sertifikat telah diterbitkan secara digital.
