umkm_id,status_perkembangan_id,laba_harian,jumlah_produk,created_at
UMK000179,STABIL,158000,7,2026-05-29 03:10:00
UMK000180,STABIL,730000,5,2026-05-29 09:15:00
UMK000181,STABIL,121000,7,2026-05-29 01:03:00
UMK000182,NAIK,539000,2,2026-05-29 05:54:00
UMK000183,STABIL,194000,6,2026-05-29 06:03:00
UMK000184,EKSPANSI,1628000,4,2026-05-29 01:24:00
UMK000185,STABIL,378000,2,2026-05-29 04:50:00
UMK000186,NAIK,259000,3,2026-05-29 03:06:00
UMK000187,STABIL,328000,5,2026-05-29 07:44:00
UMK000188,STABIL,299000,3,2026-05-29 01:21:00
UMK000189,STABIL,378000,6,2026-05-29 03:30:00
UMK000190,STABIL,245000,3,2026-05-29 04:54:00
UMK000191,STABIL,457000,5,2026-05-29 07:04:00
UMK000192,STABIL,350000,4,2026-05-29 06:41:00
UMK000193,NAIK,904000,2,2026-05-29 03:13:00
UMK000194,TURUN,43527,4,2026-05-29 03:39:00
UMK000195,STABIL,401000,4,2026-05-29 04:16:00
UMK000196,STABIL,341000,4,2026-05-29 05:50:00
UMK000197,STABIL,369000,2,2026-05-29 03:37:00
UMK000198,STABIL,174000,3,2026-05-29 01:56:00
UMK000199,STABIL,283000,4,2026-05-29 08:40:00
UMK000200,EKSPANSI,342000,2,2026-05-29 02:51:00
UMK000201,STABIL,1036000,5,2026-05-29 01:48:00
UMK000202,STABIL,1382000,3,2026-05-29 02:57:00
UMK000203,STABIL,973000,3,2026-05-29 06:14:00
UMK000204,STABIL,453000,4,2026-05-29 05:01:00
UMK000205,STABIL,704000,6,2026-05-29 02:13:00
UMK000206,STABIL,170000,4,2026-05-29 02:38:00
UMK000207,STABIL,160000,4,2026-05-29 04:36:00
UMK000208,STABIL,206000,2,2026-05-29 09:18:00
UMK000209,STABIL,298000,3,2026-05-29 08:07:00
UMK000210,NAIK,1162000,6,2026-05-29 06:24:00
UMK000211,NAIK,1826000,3,2026-05-29 07:28:00
UMK000212,STABIL,272000,4,2026-05-29 09:58:00
UMK000213,STABIL,139000,5,2026-05-29 04:07:00
UMK000214,STABIL,866000,2,2026-05-29 08:19:00
UMK000215,STABIL,275000,3,2026-05-29 02:13:00
UMK000216,STABIL,387000,4,2026-05-29 01:59:00
UMK000217,STABIL,1165000,6,2026-05-29 08:39:00
UMK000218,STABIL,217000,6,2026-05-29 08:34:00
UMK000219,STABIL,489000,4,2026-05-29 03:37:00
UMK000220,STABIL,206000,6,2026-05-29 06:15:00
UMK000221,STABIL,126000,4,2026-05-29 09:43:00
UMK000222,NAIK,348000,4,2026-05-29 01:43:00
UMK000223,STABIL,260000,2,2026-05-29 08:28:00
UMK000224,STABIL,114000,4,2026-05-29 08:34:00
UMK000225,STABIL,449000,3,2026-05-29 04:01:00
UMK000226,STABIL,136000,3,2026-05-29 01:59:00
UMK000227,STABIL,190000,5,2026-05-29 04:09:00
UMK000228,STABIL,112000,3,2026-05-29 09:54:00
UMK000229,NAIK,721000,4,2026-05-29 04:04:00
UMK000230,EKSPANSI,587000,2,2026-05-29 06:16:00
UMK000231,STABIL,446000,4,2026-05-29 01:43:00
UMK000232,STABIL,78000,2,2026-05-29 03:34:00
UMK000233,STABIL,513000,6,2026-05-29 02:36:00
UMK000234,STABIL,789000,5,2026-05-29 09:13:00
UMK000235,NAIK,1561000,4,2026-05-29 08:13:00
UMK000236,EKSPANSI,123000,4,2026-05-29 08:36:00
UMK000237,STABIL,120000,1,2026-05-29 08:41:00
UMK000238,STABIL,228000,2,2026-05-29 01:46:00
UMK000239,STABIL,762000,6,2026-05-29 05:40:00
UMK000240,NAIK,1969000,7,2026-05-29 05:02:00
UMK000241,NAIK,277000,3,2026-05-29 02:42:00
UMK000242,STABIL,202000,5,2026-05-29 01:59:00
UMK000243,STABIL,87000,6,2026-05-29 03:24:00
UMK000244,STABIL,504000,3,2026-05-29 01:51:00
UMK000245,STABIL,233000,4,2026-05-29 01:44:00
UMK000246,STABIL,188000,3,2026-05-29 09:49:00
UMK000247,STABIL,290000,3,2026-05-29 06:53:00
UMK000248,STABIL,101000,3,2026-05-29 07:06:00
UMK000249,STABIL,74000,5,2026-05-29 04:24:00
UMK000250,STABIL,89000,4,2026-05-29 07:50:00
UMK000251,STABIL,179000,3,2026-05-29 03:12:00
UMK000252,EKSPANSI,854000,4,2026-05-29 09:04:00
UMK000253,STABIL,492000,4,2026-05-29 07:58:00
UMK000254,NAIK,588000,7,2026-05-29 05:03:00
UMK000255,STABIL,194000,2,2026-05-29 07:37:00
UMK000256,STABIL,190000,6,2026-05-29 04:22:00
UMK000257,STABIL,442000,3,2026-05-29 07:40:00
UMK000258,STABIL,515000,6,2026-05-29 03:50:00
UMK000259,STABIL,523000,3,2026-05-29 06:12:00
UMK000260,STABIL,109000,5,2026-05-29 06:08:00
UMK000261,STABIL,489000,1,2026-05-29 05:23:00
UMK000262,STABIL,895000,3,2026-05-29 01:03:00
UMK000263,NAIK,378000,3,2026-05-29 08:24:00
UMK000264,STABIL,537000,4,2026-05-29 08:44:00
UMK000265,EKSPANSI,454000,4,2026-05-29 02:25:00
UMK000266,STABIL,294000,7,2026-05-29 06:32:00
UMK000267,NAIK,473000,6,2026-05-29 09:01:00
UMK000268,STABIL,85000,4,2026-05-29 05:19:00
UMK000269,STABIL,92000,5,2026-05-29 07:32:00
UMK000270,NAIK,161000,4,2026-05-29 07:58:00
UMK000271,STABIL,372000,2,2026-05-29 09:28:00
UMK000272,STABIL,552000,6,2026-05-29 08:24:00
UMK000273,STABIL,1712000,2,2026-05-29 09:49:00
UMK000274,NAIK,232000,3,2026-05-29 05:56:00
UMK000275,STABIL,800000,3,2026-05-29 06:35:00
UMK000276,STABIL,521000,4,2026-05-29 09:33:00
UMK000277,NAIK,362000,3,2026-05-29 08:16:00
UMK000278,STABIL,98000,5,2026-05-29 09:35:00
UMK000279,STABIL,123000,5,2026-05-29 04:47:00
UMK000280,NAIK,437000,3,2026-05-29 08:22:00
UMK000281,STABIL,446000,5,2026-05-29 07:21:00
UMK000282,STABIL,38000,1,2026-05-29 06:56:00
UMK000283,EKSPANSI,655000,6,2026-05-29 09:25:00
UMK000284,STABIL,482000,5,2026-05-29 07:45:00
UMK000285,STABIL,67000,3,2026-05-29 01:44:00
UMK000286,STABIL,437000,2,2026-05-29 03:24:00
UMK000287,STABIL,200000,4,2026-05-29 08:04:00
UMK000288,STABIL,365000,4,2026-05-29 02:59:00
UMK000289,STABIL,423000,6,2026-05-29 08:08:00
UMK000290,STABIL,440000,7,2026-05-29 08:42:00
UMK000291,BERISIKO,14057,5,2026-05-29 05:39:00
UMK000292,STABIL,342000,3,2026-05-29 06:40:00
UMK000293,STABIL,173000,4,2026-05-29 06:00:00
UMK000294,STABIL,211000,6,2026-05-29 06:03:00
UMK000295,STABIL,130000,2,2026-05-29 09:59:00
UMK000296,STABIL,149000,2,2026-05-29 09:39:00
UMK000297,STABIL,535000,4,2026-05-29 03:16:00
UMK000298,NAIK,339000,4,2026-05-29 09:07:00
UMK000299,STABIL,141000,2,2026-05-29 03:20:00
UMK000300,NAIK,133000,6,2026-05-29 09:23:00
UMK000301,STABIL,375000,3,2026-05-29 09:16:00
UMK000302,STABIL,248000,3,2026-05-29 03:46:00
UMK000303,STABIL,617000,5,2026-05-29 04:20:00
UMK000304,STABIL,330000,3,2026-05-29 01:48:00
UMK000305,STABIL,165000,1,2026-05-29 01:33:00
UMK000306,STABIL,634000,5,2026-05-29 01:44:00
UMK000307,STABIL,540000,4,2026-05-29 09:07:00
UMK000308,STABIL,194000,3,2026-05-29 02:23:00
UMK000309,STABIL,591000,4,2026-05-29 02:00:00
UMK000310,STABIL,1171000,1,2026-05-29 05:27:00
UMK000311,STABIL,145000,5,2026-05-29 07:52:00
UMK000312,STABIL,135000,6,2026-05-29 06:29:00
UMK000313,STABIL,122000,2,2026-05-29 01:31:00
UMK000314,EKSPANSI,119000,6,2026-05-29 06:44:00
UMK000315,STABIL,506000,4,2026-05-29 02:43:00
UMK000316,STABIL,255000,3,2026-05-29 08:48:00
UMK000317,STABIL,296000,2,2026-05-29 03:34:00
UMK000318,NAIK,469000,2,2026-05-29 03:17:00
UMK000319,STABIL,102000,3,2026-05-29 05:51:00
UMK000320,NAIK,176000,3,2026-05-29 09:23:00
UMK000321,NAIK,105000,6,2026-05-29 05:18:00
UMK000322,STABIL,198000,6,2026-05-29 06:41:00
UMK000323,STABIL,373000,3,2026-05-29 05:55:00
UMK000324,NAIK,1028000,3,2026-05-29 09:03:00
UMK000325,STABIL,358000,5,2026-05-29 04:57:00
UMK000326,STABIL,617000,4,2026-05-29 02:44:00
UMK000327,NAIK,1858000,7,2026-05-29 01:05:00
UMK000328,NAIK,611000,4,2026-05-29 09:41:00
UMK000329,STABIL,233000,6,2026-05-29 06:50:00
UMK000330,STABIL,121000,2,2026-05-29 09:43:00
UMK000331,STABIL,575000,6,2026-05-29 09:23:00
UMK000332,STABIL,212000,3,2026-05-29 06:40:00
UMK000333,STABIL,1210000,3,2026-05-29 07:03:00
UMK000334,STABIL,364000,2,2026-05-29 03:53:00
UMK000335,STABIL,638000,3,2026-05-29 04:39:00
UMK000336,EKSPANSI,1014000,6,2026-05-29 03:24:00
UMK000337,STABIL,348000,7,2026-05-29 02:47:00
UMK000338,STABIL,328000,3,2026-05-29 02:32:00
UMK000339,NAIK,147000,2,2026-05-29 05:32:00
UMK000340,STABIL,213000,6,2026-05-29 06:00:00
UMK000341,STABIL,746000,6,2026-05-29 08:38:00
UMK000342,NAIK,2122000,5,2026-05-29 01:18:00
UMK000343,STABIL,182000,6,2026-05-29 09:48:00
UMK000344,STABIL,291000,6,2026-05-29 09:41:00
UMK000345,STABIL,262000,6,2026-05-29 02:29:00
UMK000346,TURUN,99737,3,2026-05-29 01:14:00
UMK000347,STABIL,188000,5,2026-05-29 06:21:00
UMK000348,STABIL,317000,6,2026-05-29 04:57:00
UMK000349,STABIL,407000,3,2026-05-29 06:47:00
UMK000350,NAIK,656000,2,2026-05-29 08:11:00
UMK000351,STABIL,317000,4,2026-05-29 07:56:00
UMK000352,STABIL,285000,5,2026-05-29 09:53:00
UMK000353,EKSPANSI,440000,6,2026-05-29 06:47:00
UMK000354,STABIL,149000,4,2026-05-29 02:36:00
UMK000355,STABIL,170000,4,2026-05-29 08:00:00
UMK000356,STABIL,243000,5,2026-05-29 08:21:00
UMK000357,STABIL,299000,6,2026-05-29 02:33:00
UMK000358,STABIL,115000,6,2026-05-29 01:52:00
UMK000359,STABIL,314000,3,2026-05-29 01:59:00
UMK000360,STABIL,197000,3,2026-05-29 04:28:00
UMK000361,STABIL,853000,5,2026-05-29 04:54:00
UMK000362,STABIL,74000,6,2026-05-29 03:19:00
UMK000363,EKSPANSI,288000,2,2026-05-29 02:29:00
UMK000364,STABIL,133000,5,2026-05-29 09:52:00
UMK000365,NAIK,1660000,6,2026-05-29 05:00:00
UMK000366,NAIK,182000,5,2026-05-29 03:02:00
UMK000367,STABIL,165000,3,2026-05-29 09:42:00
UMK000368,STABIL,512000,4,2026-05-29 04:07:00
UMK000369,STABIL,128000,6,2026-05-29 02:04:00
UMK000370,STABIL,735000,5,2026-05-29 08:15:00
UMK000371,STABIL,946000,1,2026-05-29 08:04:00
UMK000372,NAIK,916000,4,2026-05-29 01:31:00
UMK000373,STABIL,259000,3,2026-05-29 09:42:00
UMK000374,STABIL,244000,2,2026-05-29 06:51:00
UMK000375,STABIL,1077000,2,2026-05-29 02:25:00
UMK000376,NAIK,575000,5,2026-05-29 04:06:00
UMK000377,STABIL,449000,5,2026-05-29 03:57:00
UMK000378,EKSPANSI,112000,6,2026-05-29 07:35:00
UMK000379,STABIL,467000,4,2026-05-29 03:33:00
UMK000380,STABIL,807000,5,2026-05-29 03:21:00
UMK000381,STABIL,467000,3,2026-05-29 03:42:00
UMK000382,STABIL,281000,6,2026-05-29 05:44:00
UMK000383,NAIK,1030000,4,2026-05-29 03:57:00
UMK000384,NAIK,252000,4,2026-05-29 03:35:00
UMK000385,STABIL,412000,5,2026-05-29 06:42:00
UMK000386,NAIK,571000,6,2026-05-29 05:23:00
UMK000387,NAIK,465000,2,2026-05-29 08:25:00
UMK000388,TURUN,82507,3,2026-05-29 07:27:00
UMK000389,STABIL,561000,2,2026-05-29 04:33:00
UMK000390,STABIL,347000,6,2026-05-29 03:09:00
UMK000391,STABIL,210000,2,2026-05-29 07:48:00
UMK000392,NAIK,822000,6,2026-05-29 01:55:00
UMK000393,TURUN,279000,4,2026-05-29 05:17:00
UMK000394,NAIK,232000,6,2026-05-29 08:04:00
UMK000395,STABIL,416000,2,2026-05-29 01:28:00
UMK000396,STABIL,234000,3,2026-05-29 08:06:00
UMK000397,STABIL,359000,2,2026-05-29 07:06:00
UMK000398,STABIL,784000,4,2026-05-29 03:17:00
UMK000399,STABIL,156000,6,2026-05-29 08:58:00
UMK000400,STABIL,668000,3,2026-05-29 09:12:00
UMK000401,NAIK,238000,6,2026-05-29 05:17:00
UMK000402,STABIL,67000,1,2026-05-29 06:38:00
UMK000403,STABIL,366000,7,2026-05-29 03:13:00
UMK000404,STABIL,1094000,3,2026-05-29 09:22:00
UMK000405,STABIL,964000,6,2026-05-29 08:18:00
UMK000406,STABIL,529000,7,2026-05-29 01:03:00
UMK000407,NAIK,422000,2,2026-05-29 09:36:00
UMK000408,STABIL,143000,4,2026-05-29 02:28:00
UMK000409,STABIL,123000,5,2026-05-29 01:16:00
UMK000410,STABIL,429000,3,2026-05-29 01:14:00
UMK000411,STABIL,337000,6,2026-05-29 01:11:00
UMK000412,STABIL,325000,5,2026-05-29 04:43:00
UMK000413,STABIL,127000,1,2026-05-29 02:52:00
UMK000414,NAIK,448000,7,2026-05-29 05:52:00
UMK000415,STABIL,343000,7,2026-05-29 07:58:00
UMK000416,STABIL,350000,2,2026-05-29 04:06:00
UMK000417,STABIL,153000,3,2026-05-29 09:58:00
UMK000418,STABIL,845000,6,2026-05-29 01:27:00
UMK000419,STABIL,59000,4,2026-05-29 04:29:00
UMK000420,NAIK,894000,5,2026-05-29 03:24:00
UMK000421,NAIK,677000,4,2026-05-29 02:01:00
UMK000422,STABIL,435000,4,2026-05-29 06:11:00
UMK000423,STABIL,943000,4,2026-05-29 03:50:00
UMK000424,STABIL,368000,4,2026-05-29 07:59:00
UMK000425,NAIK,1034000,1,2026-05-29 04:39:00
UMK000426,STABIL,268000,3,2026-05-29 04:30:00
UMK000427,NAIK,341000,3,2026-05-29 01:04:00
UMK000428,STABIL,297000,6,2026-05-29 03:04:00
UMK000429,STABIL,208000,3,2026-05-29 09:03:00
UMK000430,STABIL,816000,5,2026-05-29 06:19:00
UMK000431,STABIL,146000,5,2026-05-29 06:53:00
UMK000432,STABIL,857000,5,2026-05-29 06:58:00
UMK000433,STABIL,366000,5,2026-05-29 01:31:00
UMK000434,STABIL,471000,3,2026-05-29 03:42:00
UMK000435,STABIL,743000,5,2026-05-29 09:42:00
UMK000436,STABIL,854000,6,2026-05-29 06:57:00
UMK000437,NAIK,576000,1,2026-05-29 06:47:00
UMK000438,STABIL,428000,2,2026-05-29 09:39:00
UMK000439,STABIL,329000,3,2026-05-29 02:05:00
UMK000440,STABIL,556000,6,2026-05-29 05:00:00
UMK000441,STABIL,83000,3,2026-05-29 07:43:00
UMK000442,STABIL,322000,5,2026-05-29 05:07:00
UMK000443,STABIL,75000,5,2026-05-29 08:11:00
UMK000444,STABIL,459000,4,2026-05-29 05:04:00
UMK000445,NAIK,421000,6,2026-05-29 08:10:00
UMK000446,STABIL,110000,6,2026-05-29 09:16:00
UMK000447,STABIL,174000,5,2026-05-29 09:53:00
UMK000448,STABIL,64000,5,2026-05-29 01:45:00
UMK000449,STABIL,249000,6,2026-05-29 03:51:00
UMK000450,EKSPANSI,1307000,4,2026-05-29 04:01:00
UMK000451,STABIL,340000,3,2026-05-29 06:56:00
UMK000452,NAIK,102000,2,2026-05-29 06:12:00
UMK000453,STABIL,200000,4,2026-05-29 03:08:00
UMK000454,STABIL,280000,3,2026-05-29 04:21:00
UMK000455,STABIL,1314000,3,2026-05-29 02:14:00
UMK000456,NAIK,537000,6,2026-05-29 08:28:00
UMK000457,STABIL,796000,6,2026-05-29 02:38:00
UMK000458,STABIL,243000,4,2026-05-29 08:48:00
UMK000459,STABIL,226000,5,2026-05-29 08:43:00
UMK000460,STABIL,540000,4,2026-05-29 02:44:00
UMK000461,EKSPANSI,324000,6,2026-05-29 07:34:00
UMK000462,STABIL,180000,4,2026-05-29 09:12:00
UMK000463,STABIL,218000,4,2026-05-29 04:24:00
UMK000464,STABIL,370000,5,2026-05-29 05:49:00
UMK000465,STABIL,614000,4,2026-05-29 01:14:00
UMK000466,STABIL,257000,2,2026-05-29 02:23:00
UMK000467,STABIL,420000,5,2026-05-29 06:56:00
UMK000468,NAIK,161000,2,2026-05-29 09:14:00
UMK000469,STABIL,96000,3,2026-05-29 07:06:00
UMK000470,NAIK,734000,1,2026-05-29 08:15:00
UMK000471,STABIL,911000,2,2026-05-29 07:51:00
UMK000472,STABIL,352000,3,2026-05-29 05:23:00
UMK000473,STABIL,211000,3,2026-05-29 04:24:00
UMK000474,STABIL,1622000,6,2026-05-29 03:13:00
UMK000475,STABIL,277000,5,2026-05-29 08:01:00
UMK000476,STABIL,371000,4,2026-05-29 09:11:00
