lokasi_id,provinsi,kabupaten_kota,kecamatan,kelurahan,kode_pos,alamat_detail,latitude,longitude,created_at,updated_at
LOK000023,Bali,Denpasar,Denpasar Selatan,Sanur,80227,Kompleks Ruko Mutiara Blok G No. 232,-8.695716,115.241845,2024-12-05 20:11:15,2024-12-16 20:11:15
LOK000024,Jawa Tengah,Sukoharjo,Grogol,Langenharjo,57552,Kompleks Ruko Mutiara Blok H No. 101,-7.580624,110.824993,2025-03-15 15:53:38,2025-03-29 15:53:38
LOK000025,Jawa Tengah,Surakarta,Banjarsari,Nusukan,57135,Pasar Tembalang Los D-34,-7.527796,110.797153,2024-11-14 03:18:26,2024-12-14 03:18:26
LOK000026,Jawa Tengah,Sukoharjo,Kartasura,Pabelan,57169,"Jl. Mangga KM 1.5, RT 12/RW 03",-7.545483,110.759427,2024-09-13 05:36:32,2024-10-01 05:36:32
LOK000027,DI Yogyakarta,Bantul,Banguntapan,Banguntapan,55198,Jl. Veteran Kav. 10 Blok D,-7.824695,110.408640,2024-02-15 22:45:40,2024-04-10 22:45:40
LOK000028,Jawa Tengah,Klaten,Klaten Tengah,Mojayan,57414,Jl. KH Hasyim Asy'ari No. 73 RT 14/RW 06,-7.689155,110.600453,2024-06-06 18:09:43,2024-06-08 18:09:43
LOK000029,Jawa Timur,Malang,Lowokwaru,Dinoyo,65141,"Jl. Diponegoro KM 14.0, RT 07/RW 04",-7.931054,112.625805,2025-05-28 15:12:07,2025-05-31 15:12:07
LOK000030,Jawa Tengah,Surakarta,Laweyan,Sondakan,57146,Jl. Imam Bonjol No. 98 RT 04/RW 04,-7.563605,110.765189,2024-03-31 19:08:00,2024-04-30 19:08:00
LOK000031,Jawa Tengah,Sukoharjo,Grogol,Telukan,57552,"Jl. KH Hasyim Asy'ari KM 9.9, RT 10/RW 06",-7.579548,110.795810,2024-02-06 05:44:30,2024-03-21 05:44:30
LOK000032,Jawa Tengah,Sukoharjo,Kartasura,Gonilan,57169,Kompleks Ruko Niaga Kartasura Blok D No. 108,-7.543333,110.771311,2025-08-02 06:49:41,2025-09-26 06:49:41
LOK000033,Jawa Tengah,Surakarta,Laweyan,Sondakan,57146,Jl. Cemara Gang Srikandi No. 115,-7.558364,110.775366,2025-09-29 11:03:36,2025-11-12 11:03:36
LOK000034,Jawa Timur,Madiun,Taman,Mojorejo,63139,Jl. Industri Kecil Kav. 133 Blok F,-7.626955,111.502438,2025-10-29 06:04:18,2025-12-13 06:04:18
LOK000035,Jawa Tengah,Semarang,Banyumanik,Padangsari,50263,Jl. Kartini No. 43 RT 08/RW 01,-7.080368,110.403736,2026-05-16 11:04:09,2026-06-11 11:04:09
LOK000036,Jawa Barat,Bogor,Tanah Sareal,Kayumanis,16161,Jl. Ki Hajar Dewantara Kav. 199 Blok A,-6.557744,106.805354,2025-12-11 14:29:46,2026-01-14 14:29:46
LOK000037,Jawa Tengah,Pekalongan,Pekalongan Barat,Pringrejo,51116,"Jl. Sawo KM 12.7, RT 10/RW 06",-6.903290,109.685221,2025-09-23 17:57:20,2025-09-29 17:57:20
LOK000038,Jawa Tengah,Sukoharjo,Kartasura,Ngadirejo,57169,Kompleks Ruko Niaga Kartasura Blok H No. 101,-7.544991,110.786078,2025-09-13 15:37:59,2025-10-31 15:37:59
LOK000039,Sumatera Utara,Medan,Medan Kota,Pusat Pasar,20216,"Sentra UMKM Colomadu, Kios B51",3.557837,98.655816,2024-03-18 11:38:20,2024-04-20 11:38:20
LOK000040,Jawa Timur,Surabaya,Wonokromo,Darmo,60241,Jl. KH Ahmad Dahlan No. 91 RT 07/RW 03,-7.281764,112.752105,2026-01-02 04:57:32,2026-02-04 04:57:32
LOK000041,Jawa Tengah,Surakarta,Banjarsari,Gilingan,57135,"Sentra UMKM Klewer, Kios G155",-7.540472,110.815208,2024-11-21 08:38:18,2024-11-24 08:38:18
LOK000042,Jawa Tengah,Banyumas,Purwokerto Timur,Arcawinangun,53116,Kompleks Ruko Pasar Modern Blok C No. 229,-7.432043,109.249716,2026-02-21 20:12:49,2026-03-25 20:12:49
LOK000043,Jawa Timur,Madiun,Taman,Banjarejo,63139,"Jl. Letjen Suprapto KM 6.9, RT 05/RW 01",-7.665016,111.538590,2024-10-25 23:33:39,2024-11-24 23:33:39
LOK000044,Jawa Tengah,Boyolali,Boyolali,Banaran,57316,Jl. Letjen Suprapto No. 119 RT 07/RW 05,-7.534198,110.592693,2025-09-20 13:03:18,2025-10-27 13:03:18
LOK000045,Jawa Tengah,Sukoharjo,Kartasura,Gonilan,57169,Kompleks Ruko Sumber Rejeki Blok G No. 168,-7.549778,110.765401,2025-12-09 20:58:06,2026-01-19 20:58:06
LOK000046,Jawa Tengah,Sukoharjo,Grogol,Telukan,57552,Kompleks Ruko Pasar Modern Blok E No. 230,-7.604771,110.832708,2025-09-02 05:00:27,2025-09-16 05:00:27
LOK000047,Jawa Timur,Sidoarjo,Waru,Pepelegi,61256,"Jl. Nangka KM 14.0, RT 10/RW 01",-7.354051,112.762693,2025-08-31 08:15:05,2025-09-29 08:15:05
LOK000048,Jawa Tengah,Surakarta,Laweyan,Sondakan,57146,"Jl. Letjen Suprapto KM 13.1, RT 07/RW 06",-7.543938,110.779757,2025-06-02 21:08:47,2025-07-17 21:08:47
LOK000049,Jawa Timur,Malang,Lowokwaru,Tulusrejo,65141,"Sentra UMKM Tembalang, Kios A152",-7.927488,112.629247,2024-08-24 17:04:48,2024-09-28 17:04:48
LOK000050,Jawa Tengah,Surakarta,Laweyan,Pajang,57146,"Sentra UMKM Kartasura, Kios F110",-7.562975,110.788408,2025-03-22 14:10:06,2025-05-21 14:10:06
LOK000051,Jawa Timur,Malang,Lowokwaru,Tulusrejo,65141,Pasar Grogol Los F-68,-7.957338,112.638978,2024-04-29 01:07:39,2024-05-03 01:07:39
LOK000052,DI Yogyakarta,Bantul,Banguntapan,Banguntapan,55198,Pasar Nusukan Los B-62,-7.810147,110.449582,2024-05-18 09:07:16,2024-05-18 09:07:16
LOK000053,Jawa Tengah,Surakarta,Laweyan,Pajang,57146,Jl. Kapten Mulyadi Gang Anggrek No. 191,-7.566683,110.764662,2024-12-07 06:06:57,2025-01-11 06:06:57
LOK000054,Jawa Tengah,Klaten,Klaten Tengah,Mojayan,57414,Pasar Nusukan Los F-29,-7.725790,110.592989,2025-10-07 16:28:37,2025-11-20 16:28:37
LOK000055,Jawa Tengah,Karanganyar,Colomadu,Malangjiwan,57177,Pasar Tembalang Los D-50,-7.526136,110.752305,2026-01-02 17:47:05,2026-02-09 17:47:05
LOK000056,Jawa Tengah,Sukoharjo,Kartasura,Gonilan,57169,Jl. Pemuda No. 32 RT 14/RW 09,-7.542497,110.776765,2026-04-19 11:44:15,2026-05-13 11:44:15
LOK000057,Jawa Tengah,Surakarta,Laweyan,Pajang,57146,Jl. Merpati Gang Pandan No. 152,-7.542267,110.788528,2025-09-14 07:47:02,2025-10-25 07:47:02
LOK000058,DI Yogyakarta,Yogyakarta,Umbulharjo,Pandeyan,55164,Pasar Nusukan Los D-153,-7.804337,110.388503,2026-04-24 14:52:07,2026-05-27 14:52:07
LOK000059,DI Yogyakarta,Sleman,Depok,Condongcatur,55281,"Sentra UMKM Nusukan, Kios D64",-7.783170,110.386698,2026-03-13 12:32:54,2026-04-05 12:32:54
LOK000060,Jawa Tengah,Surakarta,Laweyan,Pajang,57146,"Sentra UMKM Colomadu, Kios G189",-7.542041,110.790210,2024-07-22 00:40:31,2024-07-26 00:40:31
LOK000061,Jawa Tengah,Banyumas,Purwokerto Timur,Sokanegara,53116,"Jl. Jambu KM 7.6, RT 06/RW 05",-7.443879,109.260109,2024-04-11 12:32:49,2024-05-30 12:32:49
LOK000062,Jawa Tengah,Sukoharjo,Kartasura,Gonilan,57169,Kompleks Ruko Solo Baru Blok C No. 162,-7.554169,110.788434,2025-03-12 07:57:14,2025-05-04 07:57:14
LOK000063,Jawa Barat,Bekasi,Bekasi Selatan,Marga Jaya,17148,Jl. Ahmad Yani Kav. 72 Blok B,-6.240209,106.986304,2024-04-11 20:24:33,2024-04-18 20:24:33
LOK000064,Jawa Timur,Madiun,Taman,Kejuron,63139,Jl. Adi Sumarmo Gang Sawo No. 46,-7.660755,111.527415,2024-03-26 17:23:50,2024-04-03 17:23:50
LOK000065,Jawa Tengah,Surakarta,Banjarsari,Gilingan,57135,Jl. Sawo Kav. 96 Blok E,-7.525837,110.840993,2025-03-14 08:47:27,2025-05-02 08:47:27
LOK000066,Jawa Tengah,Surakarta,Laweyan,Kerten,57146,Jl. Gatot Subroto Gang Kenanga No. 165,-7.586929,110.799478,2024-08-23 10:17:08,2024-10-17 10:17:08
LOK000067,DI Yogyakarta,Sleman,Depok,Maguwoharjo,55281,Pasar Tembalang Los C-36,-7.764178,110.406502,2025-06-10 06:44:19,2025-07-23 06:44:19
LOK000068,Jawa Tengah,Surakarta,Banjarsari,Nusukan,57135,"Sentra UMKM Tembalang, Kios E149",-7.537364,110.824758,2024-10-03 10:35:08,2024-11-18 10:35:08
LOK000069,Jawa Tengah,Semarang,Tembalang,Tembalang,50275,Jl. Kapten Mulyadi No. 82 RT 08/RW 10,-7.069865,110.450029,2024-08-17 04:29:36,2024-08-17 04:29:36
LOK000070,Jawa Tengah,Semarang,Tembalang,Sendangmulyo,50275,"Jl. Perintis Kemerdekaan KM 10.5, RT 09/RW 06",-7.041711,110.430042,2025-03-16 08:46:09,2025-04-08 08:46:09
LOK000071,DI Yogyakarta,Sleman,Depok,Maguwoharjo,55281,Jl. Pahlawan Gang Melati No. 18,-7.789168,110.370504,2024-01-16 21:34:40,2024-02-22 21:34:40
LOK000072,Jawa Tengah,Sukoharjo,Kartasura,Ngadirejo,57169,"Jl. Diponegoro KM 18.4, RT 05/RW 01",-7.546834,110.755716,2026-02-11 10:25:38,2026-02-20 10:25:38
LOK000073,Jawa Tengah,Salatiga,Sidorejo,Bugel,50714,Jl. Cemara Kav. 101 Blok H,-7.312636,110.485486,2024-09-05 13:57:31,2024-09-06 13:57:31
LOK000074,Jawa Barat,Bandung,Coblong,Sekeloa,40135,Kompleks Ruko Cemara Blok D No. 185,-6.871428,107.591810,2024-03-22 14:31:49,2024-05-15 14:31:49
LOK000075,Jawa Tengah,Sukoharjo,Grogol,Telukan,57552,"Jl. Tentara Pelajar KM 9.9, RT 12/RW 01",-7.616881,110.791596,2025-03-09 03:04:03,2025-04-14 03:04:03
LOK000076,Jawa Tengah,Surakarta,Laweyan,Pajang,57146,Kompleks Ruko Sumber Rejeki Blok A No. 75,-7.579250,110.785739,2025-02-09 11:38:03,2025-03-03 11:38:03
LOK000077,Jawa Tengah,Karanganyar,Colomadu,Bolon,57177,"Jl. Pahlawan KM 2.8, RT 03/RW 02",-7.549871,110.768408,2025-10-23 06:38:54,2025-12-15 06:38:54
LOK000078,Jawa Timur,Malang,Lowokwaru,Mojolangu,65141,Kompleks Ruko Cemara Blok G No. 50,-7.938044,112.605443,2025-12-31 18:34:10,2026-01-16 18:34:10
LOK000079,DKI Jakarta,Jakarta Selatan,Kebayoran Baru,Melawai,12190,Jl. Mangga Gang Sawo No. 198,-6.224462,106.804888,2024-07-19 18:54:17,2024-09-09 18:54:17
LOK000080,Jawa Tengah,Sukoharjo,Grogol,Telukan,57552,Jl. KH Hasyim Asy'ari Kav. 13 Blok D,-7.616239,110.793021,2025-06-06 13:07:20,2025-07-28 13:07:20
LOK000081,Jawa Tengah,Sukoharjo,Kartasura,Pabelan,57169,"Jl. Nangka KM 18.1, RT 11/RW 04",-7.579450,110.760290,2025-02-28 06:09:33,2025-03-05 06:09:33
LOK000082,Jawa Tengah,Klaten,Klaten Tengah,Bareng,57414,Pasar Nusukan Los A-62,-7.692244,110.589423,2026-02-02 05:01:10,2026-02-28 05:01:10
LOK000083,Jawa Tengah,Semarang,Tembalang,Sendangmulyo,50275,Pasar Pucangsawit Los C-62,-7.061844,110.439561,2024-02-18 13:46:16,2024-04-01 13:46:16
LOK000084,DI Yogyakarta,Sleman,Depok,Condongcatur,55281,Jl. S. Parman Gang Arjuna No. 139,-7.794527,110.375985,2025-11-22 11:27:06,2025-11-24 11:27:06
LOK000085,Jawa Tengah,Sukoharjo,Kartasura,Ngadirejo,57169,Pasar Nusukan Los A-4,-7.563050,110.779517,2024-03-18 14:20:54,2024-04-11 14:20:54
LOK000086,Jawa Barat,Bogor,Tanah Sareal,Kayumanis,16161,Jl. Pemuda Kav. 33 Blok D,-6.554122,106.782656,2025-04-11 04:21:46,2025-05-31 04:21:46
LOK000087,Sumatera Utara,Medan,Medan Kota,Teladan Barat,20216,Jl. Adi Sucipto No. 157 RT 14/RW 02,3.560979,98.689519,2025-08-16 13:10:41,2025-09-29 13:10:41
LOK000088,Jawa Tengah,Sukoharjo,Kartasura,Ngadirejo,57169,Jl. Adi Sucipto Gang Melati No. 172,-7.556746,110.795230,2025-05-15 05:52:00,2025-05-29 05:52:00
LOK000089,Jawa Tengah,Sukoharjo,Kartasura,Gonilan,57169,Jl. Letjen Suprapto No. 61 RT 01/RW 08,-7.549447,110.787956,2025-07-26 11:10:16,2025-07-29 11:10:16
LOK000090,DI Yogyakarta,Yogyakarta,Umbulharjo,Tahunan,55164,"Sentra UMKM Pucangsawit, Kios A34",-7.810482,110.364139,2024-03-15 14:21:56,2024-05-01 14:21:56
LOK000091,Jawa Tengah,Surakarta,Laweyan,Pajang,57146,Kompleks Ruko Cemara Blok A No. 54,-7.571790,110.778477,2024-11-03 21:00:27,2024-12-21 21:00:27
LOK000092,DI Yogyakarta,Yogyakarta,Umbulharjo,Warungboto,55164,Jl. Kartini Kav. 216 Blok C,-7.808408,110.403629,2025-09-10 08:44:25,2025-10-06 08:44:25
LOK000093,Jawa Tengah,Salatiga,Sidorejo,Bugel,50714,Jl. Brigjen Katamso Kav. 92 Blok D,-7.339671,110.502532,2026-01-04 08:13:10,2026-01-13 08:13:10
LOK000094,DI Yogyakarta,Bantul,Banguntapan,Potorono,55198,Jl. Mawar Gang Arjuna No. 233,-7.824689,110.445394,2025-04-03 08:36:30,2025-04-13 08:36:30
LOK000095,Jawa Tengah,Sukoharjo,Kartasura,Gonilan,57169,Jl. Slamet Riyadi No. 214 RT 07/RW 03,-7.535476,110.752286,2025-02-20 04:55:06,2025-03-22 04:55:06
LOK000096,Jawa Barat,Bandung,Coblong,Dago,40135,Pasar Gede Los A-47,-6.892824,107.613433,2024-12-01 08:05:04,2025-01-09 08:05:04
LOK000097,Jawa Tengah,Salatiga,Sidorejo,Salatiga,50714,"Sentra UMKM Kartasura, Kios E215",-7.315066,110.529454,2024-07-17 03:36:05,2024-09-15 03:36:05
LOK000098,DI Yogyakarta,Yogyakarta,Umbulharjo,Pandeyan,55164,Pasar Colomadu Los B-16,-7.832539,110.371218,2024-08-08 01:24:40,2024-08-20 01:24:40
LOK000099,Jawa Tengah,Sukoharjo,Kartasura,Ngadirejo,57169,"Sentra UMKM Grogol, Kios E9",-7.538949,110.760229,2026-01-11 17:47:41,2026-02-09 17:47:41
LOK000100,Jawa Tengah,Surakarta,Laweyan,Kerten,57146,Jl. Pasar Kliwon Kav. 30 Blok E,-7.548628,110.764485,2024-11-17 08:59:35,2024-12-30 08:59:35
LOK000101,Jawa Tengah,Klaten,Klaten Tengah,Mojayan,57414,"Sentra UMKM Kartasura, Kios B4",-7.716656,110.619445,2026-04-28 16:05:41,2026-06-16 16:05:41
LOK000102,Jawa Tengah,Semarang,Tembalang,Tembalang,50275,"Sentra UMKM Beringharjo, Kios H76",-7.065844,110.425853,2025-11-27 12:16:29,2025-12-24 12:16:29
LOK000103,Jawa Tengah,Surakarta,Laweyan,Pajang,57146,"Sentra UMKM Tembalang, Kios F160",-7.559534,110.782790,2025-09-27 18:21:02,2025-10-06 18:21:02
LOK000104,Jawa Tengah,Sukoharjo,Kartasura,Pabelan,57169,"Sentra UMKM Gede, Kios F77",-7.534005,110.769958,2024-05-27 23:21:33,2024-07-04 23:21:33
LOK000105,Jawa Tengah,Boyolali,Boyolali,Banaran,57316,Kompleks Ruko Pasar Modern Blok A No. 118,-7.538970,110.620345,2026-04-05 07:41:36,2026-05-05 07:41:36
LOK000106,Jawa Tengah,Surakarta,Laweyan,Pajang,57146,Jl. Sultan Agung No. 87 RT 04/RW 07,-7.577235,110.787377,2025-10-03 05:25:19,2025-11-21 05:25:19
LOK000107,Jawa Tengah,Surakarta,Laweyan,Sondakan,57146,"Jl. Kenanga KM 12.2, RT 05/RW 01",-7.578850,110.797505,2025-02-04 23:54:09,2025-04-04 23:54:09
LOK000108,Jawa Barat,Bandung,Coblong,Lebakgede,40135,Kompleks Ruko Mutiara Blok D No. 18,-6.901835,107.617893,2026-03-31 15:31:02,2026-04-27 15:31:02
LOK000109,DKI Jakarta,Jakarta Selatan,Kebayoran Baru,Senayan,12190,Jl. Mawar Kav. 200 Blok E,-6.212364,106.778725,2024-12-06 13:36:16,2024-12-22 13:36:16
LOK000110,Jawa Tengah,Surakarta,Banjarsari,Nusukan,57135,"Sentra UMKM Tembalang, Kios C101",-7.566178,110.827246,2025-01-07 10:41:31,2025-02-02 10:41:31
LOK000111,DI Yogyakarta,Bantul,Banguntapan,Banguntapan,55198,Kompleks Ruko Griya Usaha Blok B No. 15,-7.819883,110.407334,2024-03-06 17:43:58,2024-04-15 17:43:58
LOK000112,Jawa Tengah,Salatiga,Sidorejo,Kauman Kidul,50714,Kompleks Ruko Solo Baru Blok E No. 178,-7.316254,110.516981,2025-10-19 13:05:13,2025-12-18 13:05:13
LOK000113,Jawa Tengah,Sukoharjo,Kartasura,Pabelan,57169,Jl. Raya Kartasura No. 153 RT 07/RW 08,-7.579701,110.754070,2024-11-16 09:59:08,2025-01-06 09:59:08
LOK000114,Jawa Timur,Sidoarjo,Waru,Pepelegi,61256,Jl. Slamet Riyadi Gang Anggrek No. 17,-7.347471,112.757607,2024-12-25 17:51:27,2025-02-17 17:51:27
LOK000115,Jawa Tengah,Klaten,Klaten Tengah,Mojayan,57414,Jl. Ki Hajar Dewantara Kav. 215 Blok D,-7.693008,110.627522,2026-01-14 03:11:04,2026-01-25 03:11:04
LOK000116,DI Yogyakarta,Sleman,Depok,Caturtunggal,55281,Jl. Lingkar Utara No. 28 RT 13/RW 10,-7.781718,110.393983,2024-05-18 03:01:19,2024-07-10 03:01:19
LOK000117,Jawa Barat,Bandung,Coblong,Dago,40135,"Jl. Dr. Rajiman KM 9.0, RT 06/RW 01",-6.897014,107.626164,2024-03-06 13:14:24,2024-03-17 13:14:24
LOK000118,Jawa Tengah,Klaten,Klaten Tengah,Mojayan,57414,"Sentra UMKM Nusukan, Kios F81",-7.697463,110.591612,2024-06-30 17:17:49,2024-08-18 17:17:49
LOK000119,Jawa Tengah,Klaten,Klaten Tengah,Tonggalan,57414,"Sentra UMKM Klewer, Kios D44",-7.687027,110.589936,2024-06-14 02:24:28,2024-07-04 02:24:28
LOK000120,Jawa Tengah,Surakarta,Laweyan,Sondakan,57146,Jl. KH Ahmad Dahlan Gang Kenanga No. 191,-7.557986,110.811515,2025-07-28 15:13:01,2025-07-28 15:13:01
LOK000121,Jawa Tengah,Sukoharjo,Kartasura,Pabelan,57169,"Sentra UMKM Nusukan, Kios G31",-7.541093,110.753862,2024-09-17 15:16:52,2024-10-22 15:16:52
LOK000122,Jawa Tengah,Surakarta,Laweyan,Pajang,57146,Jl. Kaliurang Kav. 131 Blok G,-7.542423,110.807062,2026-02-23 09:50:08,2026-04-19 09:50:08
LOK000123,DI Yogyakarta,Sleman,Depok,Condongcatur,55281,"Jl. Diponegoro KM 1.9, RT 11/RW 06",-7.756697,110.400991,2024-04-09 13:34:07,2024-04-21 13:34:07
LOK000124,Jawa Tengah,Surakarta,Banjarsari,Gilingan,57135,Kompleks Ruko Pasar Modern Blok A No. 139,-7.564597,110.816772,2026-04-14 23:12:55,2026-06-11 23:12:55
LOK000125,Jawa Tengah,Surakarta,Laweyan,Sondakan,57146,Jl. Diponegoro Gang Werkudara No. 58,-7.544107,110.799884,2024-10-13 07:25:33,2024-11-05 07:25:33
LOK000126,DI Yogyakarta,Sleman,Depok,Condongcatur,55281,Kompleks Ruko Niaga Kartasura Blok A No. 67,-7.788830,110.367167,2025-01-16 16:10:13,2025-02-14 16:10:13
LOK000127,Jawa Timur,Surabaya,Wonokromo,Darmo,60241,Jl. Jenderal Sudirman No. 98 RT 10/RW 06,-7.273116,112.750060,2025-07-11 22:02:55,2025-09-05 22:02:55
LOK000128,Jawa Tengah,Sukoharjo,Kartasura,Pabelan,57169,Kompleks Ruko Solo Baru Blok G No. 83,-7.557171,110.773574,2025-09-29 05:39:43,2025-10-31 05:39:43
LOK000129,Jawa Tengah,Sukoharjo,Grogol,Langenharjo,57552,"Jl. Mawar KM 7.5, RT 05/RW 11",-7.605593,110.824000,2024-06-26 10:51:00,2024-08-17 10:51:00
LOK000130,DKI Jakarta,Jakarta Selatan,Kebayoran Baru,Melawai,12190,"Jl. Jambu KM 10.5, RT 04/RW 11",-6.233032,106.824773,2024-01-03 08:52:42,2024-01-10 08:52:42
LOK000131,Jawa Tengah,Karanganyar,Colomadu,Malangjiwan,57177,"Sentra UMKM Colomadu, Kios A206",-7.533548,110.755391,2024-06-19 18:32:26,2024-08-08 18:32:26
LOK000132,Jawa Tengah,Surakarta,Banjarsari,Kadipiro,57135,Jl. Kenanga Kav. 223 Blok E,-7.550382,110.839314,2024-08-02 16:42:37,2024-09-13 16:42:37
LOK000133,Jawa Tengah,Surakarta,Laweyan,Pajang,57146,"Jl. Pemuda KM 11.2, RT 05/RW 08",-7.565715,110.802249,2024-01-06 23:19:37,2024-01-14 23:19:37
LOK000134,Jawa Tengah,Surakarta,Banjarsari,Gilingan,57135,Jl. Ir. Soekarno Kav. 208 Blok A,-7.553791,110.842543,2024-01-30 13:12:55,2024-02-17 13:12:55
LOK000135,Jawa Tengah,Karanganyar,Colomadu,Gajahan,57177,"Jl. S. Parman KM 14.3, RT 13/RW 07",-7.511475,110.734651,2024-10-15 12:40:42,2024-10-16 12:40:42
LOK000136,Bali,Denpasar,Denpasar Selatan,Sesetan,80227,"Sentra UMKM Klewer, Kios G221",-8.712811,115.210239,2024-11-11 12:32:32,2024-12-06 12:32:32
LOK000137,Jawa Tengah,Surakarta,Banjarsari,Gilingan,57135,"Sentra UMKM Beringharjo, Kios F205",-7.530824,110.801879,2024-08-16 12:36:26,2024-08-22 12:36:26
LOK000138,Jawa Tengah,Sukoharjo,Grogol,Madegondo,57552,Pasar Kartasura Los A-213,-7.590169,110.833124,2024-02-19 00:50:45,2024-03-01 00:50:45
LOK000139,Jawa Tengah,Pekalongan,Pekalongan Barat,Medono,51116,Jl. Jenderal Sudirman Kav. 82 Blok D,-6.884369,109.678054,2025-07-18 16:33:10,2025-08-20 16:33:10
LOK000140,Sumatera Utara,Medan,Medan Kota,Teladan Barat,20216,"Sentra UMKM Nusukan, Kios A187",3.557637,98.699115,2026-05-16 00:38:02,2026-06-06 00:38:02
LOK000141,Sumatera Utara,Medan,Medan Kota,Pusat Pasar,20216,"Jl. Veteran KM 3.9, RT 02/RW 08",3.558239,98.659658,2026-01-05 09:22:55,2026-01-16 09:22:55
LOK000142,Jawa Timur,Madiun,Taman,Kejuron,63139,Kompleks Ruko Niaga Kartasura Blok E No. 44,-7.628296,111.527641,2025-04-18 12:41:54,2025-04-19 12:41:54
